"","HF","MP2","SLATM-L2"
"270",-3.21,2.94,0.27
"271",-2.74,-1.51,0.62
"272",-1.05,1.38,0.96
"273",-3.8,1.44,1.63
"274",-3.46,1.46,-0.15
"275",-2.01,-0.330000000000002,-0.74
"276",4.33,3.7,0.36
"277",3.96,-0.37,2.34
"278",1.13,-0.22,-0.12
"279",-2.65,2.53,1.68
"280",-0.109999999999999,-2.43,-0.95
"281",2.28,-1.54,1.06
"282",-3.57,2.06,0.4
"283",1.41,-2.56,0.14
"284",-2.82,2.19,-1.51
"285",-0.770000000000003,0.0899999999999963,-1.06
"286",-2.35,1.85,-0.1
"287",10.56,-3.38,1.73
"288",3.4,-1.59,1.27
"289",3.17,2.83,0.55
"290",7.74,-1.29,1.16
"291",4.99,1.3,2.26
"292",5.67,1.95,-0.64
"293",-0.31,2.42,-2.1
"294",-1.79,-1.39,-1.03
"295",-3.57,0.0599999999999987,0.09
"296",-1.02,-1.06,-0.51
"297",-0.94,-0.21,0.4
"298",8.94,-4.83,-4.95
"299",1.86,0.0799999999999983,1.09
"300",-0.73,-0.59,-0.21
"301",-4.21,1.61,-0.28
"302",0.350000000000001,-1.04,1.27
"303",-0.5,-0.24,5.21
"304",-6.46,-0.23,0.16
"305",1.28,0.32,5.96
"306",5.25,-1.16,-0.24
"307",0.920000000000002,-0.170000000000002,-0.79
"308",0.43,-0.529999999999999,-1.02
"309",1.71,1.06,-2.26
"310",-0.34,2.16,4.39
"311",-2.47,2.99,-0.02
"312",-2.03,0.17,-0.31
"313",-1.88,0.91,-0.14
"314",2.21,-2.5,1.86
"315",-0.480000000000004,-3.42,-2.19
"316",0.780000000000001,0.0600000000000023,0.12
"317",-3.66,-2.43,-1.84
"318",1.01000000000001,-1.8,1.8
"319",-2.51,-2.12,0.24
"320",3.61,1.86,-0.25
"321",-5.24,-1.03,-0.33
"322",-0.18,-1.11,-0.38
"323",-0.100000000000001,-0.91,0.54
"324",-2.58,-1,2.86
"325",-1.23,-1.89,-0.49
"326",-2.8,0.870000000000001,-1.2
"327",-5.63,-0.140000000000001,-0.25
"328",0.68,-1.11,-0.34
"329",-3.48,1.66,-1.8
"330",-2.14,1.55,0.03
"331",1.55,1.84,-0.45
"332",-1.56,-0.420000000000002,0.39
"333",-1.39,1.98,0.27
"334",2.13,0.64,-1.77
"335",-1.96,-5.15,8.1
"336",10.3,-1.83,-2.87
"337",-2.23,-0.359999999999999,-0.69
"338",2.31,-1.21,0.85
"339",-1.92,0.75,-0.35
"340",-1.76,1.98,-0.23
"341",-1.49,0.49,0.39
"342",0.920000000000002,2.83,0.66
"343",-2.43,-0.920000000000002,0.42
"344",0.469999999999999,1.12,0.33
"345",-3.72,2.06,-0.17
"346",2.33,-0.270000000000003,0.44
"347",-2.03,0.31,-0.32
"348",-2.13,1.33,-3.61
"349",-0.35,1.2,-0.22
"350",-1.89,1.07,0.32
"351",0.33,0.64,-0.4
"352",-0.71,0.76,0.61
"353",-1.89,-1.13,0.23
"354",2.11,0.340000000000003,0.03
"355",-2.13,-1.35,-2.48
"356",4.76,-1.31,0.24
"357",0.11,1.3,2.43
"358",3.98,-1.86,1.77
"359",1.92,-1.08,0.59
"360",-0.970000000000001,-1.09,0.76
"361",-4.15,-2.31,-0.36
"362",0.369999999999999,-2.55,-1.45
"363",-3.06,2.91,-0.53
"364",2.97,0.640000000000001,-5.87
"365",0.0100000000000016,0.129999999999999,-0.45
"366",-7.34,1.91,-10.39
"367",0.800000000000001,-0.0700000000000003,-0.55
"368",-1.68,-0.109999999999999,0.84
"369",0.85,-1.34,0.86
"370",0.43,2.55,1.06
"371",1.39,1.81,1.16
"372",-2.79,2.08,0.33
"373",0.66,-1.26,0.3
"374",-4.06,-0.259999999999998,2.51
"375",11.67,-0.0500000000000043,0
"376",-0.7,-0.95,-0.36
"377",2.81,4.26,0.09
"378",3.69,-1.63,0.76
"379",-1.89,-1.03,5.12
"380",-0.119999999999997,-1.78,-0.1
"381",-2.36,0.7,-0.61
"382",2.31,-1.08,-0.12
"383",16.1,0.399999999999999,12.13
"384",-2.28,1.29,0.99
"385",-2.11,1.94,-0.24
"386",1.86,-1.02,-0.7
"387",0.19,0.209999999999999,0.2
"388",-0.94,2.69,-1.26
"389",6.21,-1.21,16.3
"390",1.38,2.83,-1.86
"391",-0.129999999999995,-1.09,0.68
"392",0.45,2.08,-0.06
"393",-5.06,1.42,-0.15
"394",-1.97,0.279999999999998,1.84
"395",0.630000000000001,-2.07,0.98
"396",-2.76,2,-0.51
"397",0.21,-0.78,-0.38
"398",-0.470000000000001,1.29,-1.09
"399",1.46,1.7,1.48
"400",-1.34,-0.81,2.08
"401",4.92,-0.0300000000000011,0.32
"402",-0.449999999999999,-5.14,1.05
"403",6.37,-1.21,0.58
"404",-5.52,0.120000000000001,-0.37
"405",1.27,-1.78,1.27
"406",2.25,3.09,0.9
"407",-1.49,-1.41,0.1
"408",-2.58,3.99,-4.89
"409",-6.87,-0.620000000000001,0.04
"410",2.05,0.8,-0.58
"411",-2.03,1.31,-0.18
"412",-0.789999999999999,0.120000000000001,0.17
"413",-3.03,-0.130000000000003,-0.31
"414",-0.0899999999999999,2.38,0.34
"415",2.2,0.83,-3.79
"416",-0.87,-0.3,-0.01
"417",-1.73999999999999,-0.309999999999995,0.72
"418",-1.08,0.549999999999999,-0.4
"419",-1.91,1.33,-0.82
"420",-0.0300000000000011,-0.960000000000001,0.09
"421",5.42,-1.03,0.2
"422",1.08,0.18,-1.58
"423",-4.22,-2.31,-4.05
"424",0.77,-1.83,-0.47
"425",-1.19,-0.0999999999999979,0.22
"426",0.550000000000001,0.5,0.14
"427",4.04,-2.14,-0.76
"428",-2.73,0.469999999999999,-0.74
"429",-1.96,1.57,-0.71
"430",-0.399999999999999,-1.47,-0.7
"431",3,-2.79,-1.28
"432",2.32,0.65,-3.22
"433",1.69,-0.300000000000001,1.4
"434",-0.819999999999997,-1.43,1.65
"435",0.59,-1.11,0.76
"436",3.21,-2.54,1.43
"437",-2.53,2.06,-0.36
"438",-1.09,-0.800000000000001,-1.8
"439",-2.89,-0.25,0.39
"440",-5.57,-1.29,2.37
"441",-2.36,-0.699999999999999,-1.45
"442",-1.02,1.67,0.62
"443",1.32,-0.54,-0.86
"444",-0.72,0.47,-2
"445",-2.69,-0.510000000000002,-1.06
"446",5.53,-3.85,21.19
"447",2.5,-0.109999999999999,-3.96
"448",1.15,0.15,0.95
"449",-2.79,-3.93,0.5
"450",-0.92,-2.29,0.27
"451",3.81,2.86,-0.97
"452",1.29,2.8,1.89
"453",4.03,3.48,1.63
"454",0.200000000000001,-1.4,0.89
"455",2.77,1.91,-2.22
"456",-4.76,-0.309999999999995,0.05
"457",1.49,0.469999999999999,-0.18
"458",2.37,1.58,-0.18
"459",2.26,-1.47,0.65
"460",0.0199999999999996,-3,-0.09
"461",-2.8,-2.88,-1.43
"462",-0.77,-0.919999999999998,-0.83
"463",1.7,-0.75,0.84
"464",0.309999999999999,-1.6,-0.52
"465",-3.1,1.05,-0.16
"466",6.97,1.12,-3.24
"467",-4.55,0.219999999999999,-0.02
"468",6.79,1.55,-0.24
"469",1.87,-1.74,0.4
"470",-0.57,0.869999999999997,0.45
"471",-2.02,-1.79,-0.79
"472",5.38,0.75,-0.36
"473",-2.18,-0.18,-0.53
"474",-0.609999999999999,-2.17,9.24
"475",1.18,-1.47,-15.36
"476",2.66,-0.45,0.67
"477",1.6,-1.53,0.16
"478",3.96,-1.17,-0.29
"479",0.16,0.81,0.01
"480",-3.28,0.92,-0.18
"481",-0.32,0.97,-0.67
"482",1.7,0.87,3.38
"483",-1.26,-0.149999999999999,-0.91
"484",-4.34,-1.18,0.51
"485",-0.5,0.29,0.32
"486",-7.25,-2.05,-1.08
"487",1.74,0.859999999999999,0.67
"488",-5.23,-1.63,-6.83
"489",-3.5,-2.08,-0.18
"490",-2.42,-1.75,1.03
"491",4.67,0.239999999999998,-2.72
"492",2,2.49,0.79
"493",-3.26,1.84,-0.08
"494",-2.64,3.51,-6.2
"495",3.91,-5.71,-6.52
"496",4.72,-1.61,-2.53
"497",-3.07,0.75,-0.68
"498",-2.8,0.469999999999999,-0.04
"499",1.34,-1.15,-2.2
"500",-4.68,0.0299999999999994,-1.46
"501",1.59,-0.479999999999997,-0.09
"502",-2.41,1.64,-2.28
"503",4.97,4.74,-1.72
"504",0.0200000000000014,-1.26,-0.68
"505",-1.99,0.579999999999998,0.17
"506",-3.5,0.43,0.1
"507",9.22,-1.62,-2.67
"508",-0.0999999999999996,0.43,0.53
"509",0.74,0.0999999999999996,-1.06
"510",-0.169999999999998,0.440000000000001,-1.94
"511",-3.13,3.2,-0.25
"512",0.590000000000003,-0.399999999999999,-0.33
"513",0.0900000000000007,-0.0299999999999994,0.33
"514",7.32,-1.18,-0.89
"515",0.71,0.83,-0.4
"516",-2.35,1.12,0.02
"517",4.74,-0.56,3.05
"518",-4.65,-1.74,-2.07
"519",4.38,2.48,-0.99
"520",1.66,0.800000000000001,-1.62
"521",4.2,3.14,1.77
"522",5.11,0.98,0.1
"523",-2.08000000000001,-0.840000000000003,-0.1
"524",-0.890000000000001,1.3,-0.52
"525",-0.300000000000001,-3.65,-1.51
"526",-3.3,0.300000000000001,1.21
"527",1.06,0.88,-0.05
"528",-2.72,0.539999999999999,-0.26
"529",-6.59,-1.97,4.08
"530",-0.47,-1.25,0.45
"531",2.81,2.73,0.07
"532",-0.2,1.35,-0.22
"533",-3.1,3.41,-0.14
"534",-2.39,-0.55,-1.82
"535",0.34,-3.19,3.31
"536",-1.94,1.75,-0.31
"537",0.0700000000000003,-1.89,0.16
"538",0.609999999999999,1.62,-5.62
"539",1.19,-0.74,-0.53
"540",-6.67,-0.220000000000001,4.2
"541",-1.73,-0.95,0.28
"542",-2.47,-1.04,-0.24
"543",-1.51,0.88,-0.92
"544",-3.69,-0.04,-0.28
"545",-0.52,-3.27,-1.54
"546",2.22,-1.09,-0.53
"547",-1.17,0.05,-0.63
"548",-1.78,0.369999999999999,0.03
"549",-3.46,3.47,1.29
"550",2.94,-1.44,0.88
"551",-0.649999999999999,1.29,1.32
"552",-1.28,-1.52,1.8
"553",2.54,-2.15,-2.72
"554",-1.44,0.49,-2.19
"555",6.71,-2.97,-7.77
"556",-4.51,0.920000000000002,0.28
"557",-1.63,0.300000000000001,-0.49
"558",-0.609999999999999,-1.25,-0.24
"559",-0.98,0.23,0.61
"560",-3.63,1.69,0.15
"561",-3.99,1.71,0.19
"562",5.34,-1.38,0.96
"563",-0.619999999999997,-4.8,6.71
"564",0.32,-0.48,-0.13
"565",2.85,-1.45,-0.89
"566",2.79,-1.8,-1.06
"567",-2.29,0.850000000000001,-0.36
"568",-2.59,3.62,0.33
"569",0.289999999999999,-1.31,0.12
"570",0,1.26,-0.66
"571",-1.1,0.48,0.28
"572",-3.87,0.0899999999999999,-0.64
"573",-3.38,2.64,0.28
"574",-1.2,-1.42,0.33
"575",-3.86,1.47,-0.95
"576",-0.209999999999999,1.12,-0.96
"577",-0.780000000000001,0.310000000000002,0.58
"578",1.87,-1.37,0.03
"579",-0.67,-0.26,-1.49
"580",-3.11,-2.47,0.82
"581",-1.8,-0.460000000000001,0.18
"582",-1.39,-1.38,-0.21
"583",-0.99,2.63,-0.94
"584",-1.43,-2.11,0
"585",-3.83,0.54,0.79
"586",5.85,-1.35,-0.94
"587",-1.56,-0.0800000000000001,0.65
"588",-1.67,0.240000000000002,0.47
"589",0.640000000000001,-0.209999999999999,0.43
"590",1.99,-1.5,0.45
"591",-2.74,-2.11,1.11
"592",7.34,-0.78,-0.41
"593",0.74,-2.35,0.8
"594",-1.79,1.18,-1.58
"595",-4.1,1.37,0.66
"596",1.95,-0.33,0.54
"597",3.37,5.25,0.17
"598",-0.909999999999997,-0.0499999999999972,1.7
"599",0.940000000000001,0.0600000000000005,-0.07
"600",-0.48,-0.73,0.37
"601",-3.96,0.00999999999999801,-0.03
"602",0.719999999999999,-0.0600000000000023,0.06
"603",2.14,-0.81,0.77
"604",1.42,-2.23,0.03
"605",2.07,1.07,0.31
"606",-1.7,-4.73999999999999,0.82
"607",-0.970000000000002,-0.460000000000001,-1.3
"608",-2.48,-1.22,-0.54
"609",-0.0999999999999996,-1.28,0.49
"610",-0.859999999999999,-0.609999999999999,2.55
"611",-2.83,-0.120000000000001,0.59
"612",2.31,3.91,-0.4
"613",6.65,-2.93,-1.53
"614",0.83,-0.73,0.24
"615",2.05,-0.97,2.68
"616",-0.0499999999999998,1.17,0.08
"617",-0.450000000000003,0.879999999999999,-2.72
"618",-4.32,-1.55,4.68
"619",-0.99,0.46,1.07
"620",-0.93,0.35,-0.28
"621",-1.04,0.0899999999999999,-0.32
"622",0.74,-1.55,-0.84
"623",2.66,1.48,1.13
"624",0.739999999999999,-2.34,-0.27
"625",7.54,0.539999999999999,1.09
"626",-0.78,0.35,-1.35
"627",-4.16,1.35,0.56
"628",-0.76,-0.119999999999999,-0.75
"629",-0.149999999999999,-0.149999999999999,0.39
"630",4.15,2.2,-2.63
"631",-0.5,-1.92999999999999,1.77
"632",1.91,-0.78,-1.9
"633",-5.1,-0.539999999999999,0.6
"634",-1.86,1.37,-0.1
"635",1.24,-0.819999999999999,0.2
"636",-0.800000000000001,2.47,-1.68
"637",2.73,4.14,-0.12
"638",-3.76000000000001,-1.23,0.52
"639",-1.17,-0.149999999999999,0.34
"640",0.6,0.56,0.05
"641",-1.66,0.710000000000001,-1.15
"642",0.440000000000001,-1.27,0.92
"643",0.550000000000001,0.699999999999999,-0.12
"644",-4.33,-1.15,-1.12
"645",1.04,-1.09,0.26
"646",-1.27,1.78,-0.92
"647",-1.32,1.17,-0.26
"648",-2.98,0.140000000000001,-0.64
"649",-0.999999999999996,-0.239999999999998,0.01
"650",1.03,0.869999999999999,0.21
"651",4.11,-4.43,3.04
"652",0,2.34,-2.5
"653",1.08,-1.69,-0.15
"654",-1.07,1.72,-0.43
"655",1.39,-1.35,0.43
"656",-0.41,-0.390000000000001,0.02
"657",-7.66,3,-12.68
"658",-2.18,0.600000000000001,0.28
"659",-1.1,-4.99,-0.61
"660",-5.54,-1.2,-6.09
"661",3.67,-2.49,6.53
"662",0.0899999999999999,0.129999999999999,0.43
"663",-0.16,-1.45,-0.87
"664",2.25,-1.29,-0.3
"665",0.0499999999999998,1.75,-1.45
"666",-0.869999999999997,-0.859999999999999,-1.65
"667",-3.79,0.58,0.35
"668",-3.75,0.709999999999999,-0.28
"669",-2.18,-0.08,1.16
"670",2.31,-2.79,0.12
"671",0.9,-0.970000000000001,-0.75
"672",-0.640000000000001,-1.12,-0.84
"673",5.11,1.57,0.4
"674",6.01,2.09,9.14
"675",2.03,-0.350000000000001,-0.09
"676",-5.49,-0.109999999999999,-2.83
"677",2.49,-2.72000000000001,-3.1
"678",-2.36,-0.550000000000001,-1.14
"679",-2.58,0.600000000000001,-0.21
"680",-0.0800000000000001,-0.83,0.59
"681",-0.140000000000001,2.75,0.89
"682",1.85,-0.99,-0.42
"683",2.94,1.78,-0.39
"684",0.77,-1.99,2.84
"685",3.82,1.65,1.68
"686",-5.68,0.0999999999999979,3.68
"687",0.66,0.93,-0.82
"688",2.21,2.3,-0.79
"689",1.76,-0.0800000000000001,0.16
"690",1.58,3.56,-0.8
"691",1.35,1.46,-0.64
"692",0.449999999999999,-0.68,-0.1
"693",-2.93,-1.90000000000001,0.09
"694",-2.15,1.6,-0.82
"695",-1.81,0.779999999999998,-1.17
"696",3.4,-3.26,3.79
"697",-0.219999999999999,2.96,-0.41
"698",-1.27,0.19,-0.7
"699",-3.49,-2.3,-0.51
"700",14.32,0.48,-3.21
"701",7.26,-4.06,-21.36
"702",-2.57,0.44,-1.28
"703",-0.43,0.46,1.62
"704",-0.6,2.05,-0.12
"705",-0.92,0.48,-0.82
"706",-4.84,2,-0.47
"707",1.87,-0.49,0.5
"708",1.42,0.86,0.03
"709",-3.72,0.71,2.47
"710",0.0100000000000016,-0.579999999999998,-0.79
"711",-1.26,-1.47,-1.83
"712",2.17,-0.64,0
"713",8.69,-0.470000000000002,6.42
"714",-0.15,1.46,-2.68
"715",-2.49,0.35,-0.29
"716",5.17,2.24,1.25
"717",0.380000000000001,-0.559999999999999,-0.43
"718",-1.53,0.359999999999999,5.38
"719",0.6,-1.3,-0.82
"720",1.3,-0.300000000000001,0.03
"721",1.44,-0.49,0.63
"722",2.62,0.26,0.17
"723",-4.67,-0.559999999999999,-0.28
"724",-0.599999999999994,1.76000000000001,0.14
"725",2.35,3.65,-3.07
"726",-0.539999999999999,0.25,-0.82
"727",-0.91,-0.45,-4.14
"728",-3.51,0.68,0.04
"729",7.67,-0.61,0.24
"730",-2.61,0.49,0.04
"731",3.66,-1.74,-1.48
"732",5.17,3.31,-4.48
"733",3.02,-1.78,-3.7
"734",3.47000000000001,-0.869999999999997,-2.35
"735",-0.819999999999999,0.550000000000001,-0.07
"736",3.22,2.47,-0.97
"737",-0.280000000000001,-1.62,-0.41
"738",4.74,-1.95,0.36
"739",2.04,-1.92,-0.41
"740",-0.29,-1.49,-0.18
"741",-0.85,-1.53,0.04
"742",-1.94,-1.92,-0.04
"743",0.419999999999998,0.899999999999999,-0.14
"744",-2.87,0.87,-0.15
"745",2.28,-0.0700000000000003,-0.89
"746",-4.57,1.47,0.65
"747",-0.139999999999993,-0.899999999999999,-0.58
"748",2.85,-1.08,-0.17
"749",-0.159999999999997,-3.24,2.04
"750",2.23,-1.39,-0.68
"751",-2.36,0.9,-0.59
"752",-1.58,-0.23,-2.45
"753",-4.69,-0.509999999999998,-0.16
"754",-2.61,2.58,-1.69
"755",-2.23,1.39,1.77
"756",2.47,3.27,-0.49
"757",0.600000000000001,0.18,0.39
"758",1.59,-0.23,0.65
"759",-2.05,-2.16,-1.72
"760",3.15,1.13,1.97
"761",3.67,1.8,0.56
"762",1.23,-0.77,-0.22
"763",-0.24,-0.379999999999999,0.51
