"","LDA","LDA + SOC","PBE","PBE + SOC","PBE_SOL","HLE16","HLE16 + SOC","BJ","mBJ","SCAN","HSE06","HSE14","HSE_mix","PBE0","PBE0_mix"
"359",0.7465,0.7557,0.666,0.6902,0.7018,0.3432,0.3359,0.4071,0.1986,0.4196,-0.4154,-0.8047,-0.6481,-0.916,-0.4217
"360",0.3913,0.4012,0.3125,0.3376,0.3512,0.0116000000000001,-0.0107,0.1087,-0.0508,0.0521,-0.5897,-0.9244,-0.7346,-1.1957,-0.5988
"361",0.4097,0.4263,0.3731,0.4048,0.3982,0.0735,0.0833,0.2695,0.1648,0.3088,-0.1993,-0.2585,-0.2292,-0.8431,-0.1847
"362",1.1862,1.1923,1.123,1.134,1.2035,0.00890000000000013,0.0373000000000001,0.7488,0.447,0.8409,0.2675,0.1684,-0.1425,-0.3898,-0.6721
"363",0.9653,1.0263,0.8215,0.8864,0.929,-0.3371,-0.2219,0.4283,-0.1051,0.5218,-0.1705,-0.3027,-0.6605,-0.8222,-1.1902
"364",0.552,0.5841,0.4669,0.5012,0.5361,-0.0660000000000001,0.00750000000000006,0.3346,0.097,0.3199,-0.0583,-0.0677000000000001,-0.1519,-0.6376,-0.2933
"365",0.244,0.3092,0.1549,0.2283,0.2111,-0.222,-0.0874999999999999,0.0143000000000002,-0.2028,0.0278,-0.3601,-0.3848,-0.4084,-0.6043,-0.4225
"366",0.2097,0.0563,0.2529,0.0487,0.2115,-0.0616,0.1418,0.1734,0.0677,0.2257,0.0479,0.0314,0.0429,-0.3683,0.0554
"367",-0.0888,-0.0467000000000004,-0.2436,-0.1981,-0.1601,-1.3505,-1.1883,-0.6163,-1.3057,-0.6407,-1.4248,-1.6615,-2.7541,-2.072,-3.7054
"368",0.1891,0.4925,0.0720000000000001,0.3816,0.1352,-0.2506,0.1987,-0.1066,-0.3405,-0.1435,-0.7031,-0.7468,-0.838,-1.2116,-0.8305
"369",0.9628,1.0251,0.938,0.9905,0.9627,0.0939999999999999,0.1828,0.5695,0.3083,0.6521,0.2486,0.1898,0.2219,-0.3611,0.2612
"370",0.7421,0.8069,0.6156,0.6889,0.7047,0.0139,0.1704,0.4633,0.1024,0.4263,-0.0802,-0.1306,-0.2247,-0.4377,-0.4238
"371",0.4143,0.5499,0.3103,0.4463,0.376,-0.0508999999999999,0.2057,0.1185,-0.1152,0.1289,-0.3463,-0.41,-0.4137,-0.8896,-0.391
"372",0.3761,0.574,0.2645,0.4618,0.3342,-0.1261,0.1985,0.0931,-0.178,0.0792999999999999,-0.4028,-0.4741,-0.4879,-0.9746,-0.5263
"373",0.9,0.9,0.9,0.9,0.9,0.5328,0.5537,0.7132,-0.0182,0.605,-0.00780000000000003,-0.4241,-0.4947,-0.6909,-0.9048
"374",-0.1794,-0.1532,-0.1899,-0.165,-0.1783,-0.1426,-0.1263,-0.0798,-0.2214,-0.2742,-0.3271,0.0417,-0.3361,-0.9675,-0.6343
"375",-0.0899,-0.0332,-0.0821,-0.0269,-0.0777,-0.0365,0.0028,-0.0122,-0.0364,-0.192,-0.2923,-0.0498,-0.3106,-0.9206,-0.5896
"376",0.6531,0.6696,0.5513,0.5672,0.665,-0.3159,-0.2996,0.2684,-0.0294000000000001,0.2958,-0.0311000000000001,-0.0447,-0.0272000000000001,-0.6609,0.0679999999999998
"377",0.97,0.97,0.787999999999999,0.7931,0.9243,0.0617000000000001,0.0694999999999997,0.2094,-0.6349,0.1416,-0.6799,-1.1549,-1.3715,-1.4285,-1.7322
"378",0.7361,0.7406,0.6422,0.6491,0.7248,-0.0755000000000001,-0.0564,0.429,0.1439,0.4145,0.0920999999999998,0.0992,0.0691999999999999,-0.5145,0.0543
"379",1.1188,1.1235,1.0652,1.0701,1.1894,0.3158,0.3228,0.5601,0.1245,0.7044,0.1667,0.0635000000000003,0.0545,-0.5605,0.0762
"380",1.106,1.1108,0.9814,0.9864,1.1413,0.00119999999999987,0.00629999999999997,0.5017,-0.0442,0.6065,0.0722,-0.0655999999999999,-0.0356000000000001,-0.4978,0.0735000000000001
"381",1.0267,1.0314,0.9684,0.9732,1.0855,0.2665,0.2726,0.4938,0.0900000000000003,0.6018,0.0254000000000003,-0.0978999999999997,-0.0903999999999998,-0.68,-0.0276999999999998
"382",0.9043,0.9092,0.8485,0.8534,0.9624,0.1517,0.1577,0.3902,-0.0308000000000002,0.494,-0.0649000000000002,-0.1795,-0.1782,-0.7751,-0.1341
