"","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"C8H16.4",-26.43,-27.88,-27.19,-22.64,-24.53
"C8H16.5",-25.07,-26.66,-27.23,-21.2,-23.21
"C8H16.6",-35.3,-35.82,-38.08,-31.43,-35.77
"C8H16.7",-41.04,-41.39,-42.55,-37.17,-41.01
"C8H16.8",-43.24,-44.18,-42.56,-39.33,-42.63
"C8H16.9",-41.13,-41.91,-41.27,-37.4,-41.1
"C8H16.10",-43,-43.63,-43.46,-39.07,-42.61
"C8H16.11",-44.12,-44.58,-44.85,-40,-43.6
"C8H16.12",-42.18,-42.74,-42.5,-38.14,-41.91
"C8H16.13",-42.21,-42.76,-42.59,-40,-43.59
"C8H16.14",-44.1,-44.54,-44.89,-40,-43.59
"C8H16.15",-29.73,-29.53,-30.89,-26.3,-30.6
"C8H18",-49.86,-50.24,-57.32,-45.74,-49.97
"C8H18.1",-51.48,-50.94,-56.17,-46.17,-50.32
"C8H18.2",-50.79,-51.15,-56.16,-46.26,-50.34
"C8H18.3",-50.67,-51.11,-56.06,-46.16,-50.28
"C8H18.4",-53.68,-54.53,-57.02,-49.08,-52.58
"C8H18.5",-53.18,-52.42,-55.97,-47.3,-51.28
"C9H8",39.05,36.31,39.04,38.64,38.96
"C9H10",14.51,12.78,13.93,15.08,13.97
"C9H10.1",35.97,35.71,36.81,34.03,36.65
"C9H12",1.89,0.25,-1,2.83,2
"C9H12.1",0.96,-0.91,-0.67,2.13,1.5
"C9H12.2",0.31,-1.82,-2.4,0.88,0.21
"C9H12.3",-0.43,-2.19,-3.79,0.57,-0.22
"C9H12.4",-0.76,-2.04,-3.75,0.71,-0.06
"C9H12.5",-2.27,-3.86,-4.73,-1.93,-2.21
"C9H12.6",-3.3,-4.88,-6.6,-2.36,-2.88
"C9H12.7",-3.8,-4.72,-7.03,-2.59,-3.33
"C9H12.8",34.82,33.16,40.44,39.4,38.06
"CH2O",-25.96,-26.82,-27.69,-26.1,-26.31
"CH4O",-48.16,-47.82,-48.73,-48.18,-47.67
"C2H2O",-11.35,-11.69,-15.88,-14.49,-14.24
"C2H4O",-39.7,-39.61,-42.9,-39.58,-40.45
"C2H4O.1",-12.57,-12.6,-15.12,-16.19,-13.95
"C2H6O",-56.21,-55.5,-57.68,-55.77,-55.63
"C2H6O.1",-44,-43.71,-49.67,-45.81,-44.32
"C3H6O",-29.76,-30.31,-30.15,-30.12,-29.2
"C3H6O.1",-44.36,-44.75,-49.02,-44.76,-45.79
"C3H6O.2",-51.94,-51.39,-55.76,-51.72,-52.96
"C3H6O.3",-22.63,-22.33,-25.81,-25.55,-23.83
"C3H6O.4",-19.24,-18.76,-22.54,-20.5,-20.86
"C3H8O",-60.97,-60.33,-62.99,-60.36,-60.6
"C3H8O.1",-65.2,-64.48,-66.66,-64.4,-64.4
"C3H8O.2",-51.72,-51.79,-58.34,-53.41,-52.35
"C4H4O",-8.34,-8.49,-9.88,-11.62,-9.33
"C4H6O",-24.04,-24.86,-28.78,-24.53,-25.33
"C4H6O.1",-3.25,-3.04,-7.43,-5.23,-2.97
"C4H8O",-48.95,-49.58,-54.23,-49.2,-50.7
"C4H8O.1",-51.58,-50.96,-54.65,-50.42,-51.58
"C4H8O.2",-57.05,-56.61,-61.65,-56.78,-58.18
"C4H8O.3",-33.65,-31.61,-37.15,-33.17,-31.87
"C4H8O.4",-44.02,-42.96,-46.68,-44.69,-44.42
"C4H10O",-65.73,-65.27,-68.16,-64.85,-65.58
"C4H10O.1",-67.85,-67.62,-69.14,-66.99,-67.12
"C4H10O.2",-70,-69.86,-72.01,-69.23,-69.44
"C4H10O.3",-74.69,-74.43,-74.89,-73.45,-73.3
"C4H10O.4",-60.25,-59.82,-66.94,-60.91,-60.35
"C4H10O.5",-56.93,-56.52,-63.51,-57.86,-57.22
"C4H10O.6",-60.23,-59.74,-65.68,-60.8,-60.04
"C5H8O",-45.91,-45.87,-48.28,-46.23,-48.76
"C5H8O.1",-29.9,-27.88,-30.48,-30.05,-28.75
"C5H10O",-61.64,-61.79,-67.36,-61.76,-63.36
"C5H10O.1",-61.9,-61.48,-66.86,-61.22,-63.12
"C5H10O.2",-62.74,-62.41,-66.36,-61.8,-63.42
"C5H10O.3",-53.39,-52.65,-56.07,-54.3,-53.87
"C5H10O.4",-54.61,-54.71,-59.54,-53.85,-55.85
"C5H10O.5",-38.62,-36.38,-42.35,-37.65,-36.77
"C5H10O.6",-35.42,-35.08,-37.54,-35.19,-36.22
"C5H10O.7",-41.54,-40.8,-45.77,-41.73,-40.71
"C5H12O",-70.43,-70.4,-73.48,-69.51,-70.75
"C5H12O.1",-74.74,-74.51,-77.42,-73.59,-74.44
"C5H12O.2",-75.81,-74.43,-77.56,-73.66,-74.31
"C5H12O.3",-72.18,-71.53,-73.52,-70.53,-71.37
"C5H12O.4",-72.01,-70.66,-72.13,-69.61,-70.71
"C5H12O.5",-79.06,-78.88,-79.27,-77.48,-77.62
"C5H12O.6",-75.33,-75.85,-76.85,-74.55,-74.83
"C5H12O.7",-67.76,-67.76,-71.72,-68.07,-67.18
"C5H12O.8",-61.69,-61.49,-68.69,-62.36,-62.21
"C5H12O.9",-65.06,-64.58,-72.12,-65.37,-65.22
"C6H6O",-23.04,-22.73,-22.95,-25.03,-23.11
"C6H6O.1",6.64,3.58,1.67,1.4,4.12
"C6H10O",-54.04,-54.39,-55.82,-54.21,-56.61
"C6H12O",-66.87,-66.63,-72.15,-65.86,-68.27
"C6H12O.1",-69.48,-69.74,-71.19,-68.32,-69.65
"C6H12O.2",-66.52,-66.69,-72.55,-66.2,-68.3
"C6H12O.3",-68.38,-67.82,-72.22,-66.86,-68.76
"C6H12O.4",-68.4,-69.34,-67.76,-68.61,-69.68
"C6H14O",-75.48,-75.52,-78.75,-74.14,-75.88
"C6H14O.1",-70,-69.34,-77.3,-69.81,-70.1
"C6H14O.2",-76.29,-76.11,-81.63,-75.71,-75.91
"C7H6O",-8.77,-10.12,-11.45,-10.75,-10.05
"C7H8O",-24,-23.87,-22.47,-24.81,-22.93
"C7H8O.1",-30.74,-31.3,-31.57,-32.93,-31.1
"C7H8O.2",-31.62,-30.67,-31.33,-32.36,-30.89
"C7H8O.3",-29.97,-30.12,-30.84,-31.69,-30.21
"C7H8O.4",-16.23,-17.55,-21.04,-20.99,-18.13
"C7H10O",-40.77,-40.54,-36.73,-38.72,-41.56
"C7H10O.1",6.43,8,10.06,6.31,6.09
"C7H14O",-63.05,-64.94,-70.11,-63.1,-66.13
"C7H14O.1",-74.98,-74.91,-76.72,-73.11,-74.73
"C7H14O.2",-74.4,-74.07,-77.03,-72.15,-74.35
"C7H16O",-80.4,-80.63,-84.02,-78.75,-81
"C8H8O",-20.72,-21.02,-22.43,-21.67,-21.18
"C8H8O.1",5.43,4.75,2.44,1.82,4.7
"C8H10O",-34.7,-36.31,-36.31,-37.16,-35.76
"C8H10O.1",-34.92,-35.93,-36.33,-36.9,-35.95
"C8H10O.2",-34.44,-35.41,-35.91,-36.27,-35.32
"C8H10O.3",-37.57,-38.41,-38.49,-39.55,-38.02
"C8H10O.4",-38.93,-38.61,-39.43,-39.54,-38.17
"C8H10O.5",-38.62,-38.76,-39.4,-39.87,-38.57
"C8H10O.6",-38.67,-39.44,-39.58,-40.48,-38.81
"C8H10O.7",-37.43,-38.33,-38.81,-39.45,-38.24
"C8H10O.8",-38.6,-38.53,-39.64,-39.6,-38.58
"C8H10O.9",-24.28,-25.76,-29.75,-28.54,-26.2
"C2H2O2",-50.67,-51.59,-52.65,-52.39,-52.55
"C2H4O2",-103.44,-102.29,-104.29,-105.1,-104.96
"C2H4O2.1",-84.97,-85.61,-89.93,-89.41,-87.95
"C2H6O2",-92.61,-91.91,-91.56,-94.65,-92.63
"C2H6O2.1",-30.04,-29.07,-37.23,-31.06,-29.21
"C3H4O2",-67.61,-67.2,-70.64,-70.49,-71.5
"C3H6O2",-71.22,-70.79,-74.65,-76.32,-73.01
"C3H6O2.1",-108.39,-107.38,-110.16,-110.15,-110.15
"C3H6O2.2",-98.45,-97.46,-102.98,-101.62,-100.34
"C3H8O2",-100.69,-101.73,-100.83,-103.96,-102.04
"C3H8O2.1",-83.27,-83.47,-90.43,-89.03,-85.07
"C3H8O2.2",-93.71,-95.15,-94.06,-97.2,-95.91
"C4H4O2",-45.46,-45.69,-49.17,-49.22,-49.68
"C4H4O2.1",-44.53,-43.33,-46.68,-46.36,-49.31
"C4H6O2",-78.18,-78.06,-82.33,-74.45,-75.39
"C4H6O2.1",-75.26,-74.72,-79.82,-78.87,-77.07
"C4H8O2",-106.14,-105.26,-111.51,-108.92,-108.15
"C4H8O2.1",-75.48,-75,-79,-80.7,-77.09
"C4H8O2.2",-84.13,-82.41,-86.36,-87.18,-84.28
"C4H10O2",-103.54,-104.23,-103.06,-105.78,-104.67
"C4H10O2.1",-93.14,-91.69,-98.64,-96.64,-93.07
"C4H10O2.2",-46.08,-44.64,-54.11,-45.84,-44.66
"C4H10O2.3",-101.98,-100.86,-99.86,-102.44,-101.61
"C5H6O2",-50.62,-51.29,-50.3,-55.67,-52.58
"C5H8O2",-81.72,-80.98,-87.42,-84.72,-83.31
"C5H10O2",-117.57,-117.43,-120.72,-119.31,-120.3
"C5H10O2.1",-110.8,-110.37,-117.3,-113.87,-113.27
"C5H10O2.2",-115.13,-114.23,-120.04,-117.17,-116.73
"C5H10O2.3",-90.08,-90.64,-93.68,-95.35,-92.13
"C5H10O2.4",-82.84,-84.82,-88.61,-90.5,-86.86
"C5H10O2.5",-91.44,-92.42,-96.18,-96.37,-93.94
"C5H10O2.6",-90.94,-91.16,-94.94,-95.28,-92.74
"C5H12O2",-102.68,-102.42,-107.09,-106.78,-102.72
"C5H12O2.1",-107.34,-105.72,-105.32,-106.95,-106.71
"C5H12O2.2",-99.14,-99.58,-107.61,-103.94,-101.06
"C6H4O2",-29.37,-28.2,-28.21,-28.7,-28.6
"C6H6O2",-63.41,-62.4,-61.87,-67.5,-64.35
"C6H6O2.1",-65.65,-64.4,-64.03,-69.84,-66.7
"C6H10O2",-89.77,-88.81,-95.94,-92,-91.1
"C6H12O2",-122.35,-122.55,-126.01,-123.94,-125.44
"C6H12O2.1",-112.62,-112.62,-119.31,-115.71,-115.59
"C6H12O2.2",-118.14,-116.3,-119.87,-118.57,-117.23
"C6H12O2.3",-116.06,-115.08,-121.92,-117.91,-118.08
"C6H12O2.4",-95.51,-93.94,-97.65,-98.66,-95.66
"C6H12O2.5",-97.78,-97.82,-99.65,-101.84,-98.96
"C6H14O2",-97.56,-98.22,-106.88,-102.32,-99.76
"C6H14O2.1",-108.39,-107.83,-115.75,-111.44,-109.04
"C7H6O2",-70.29,-71.36,-71.35,-74.79,-72.83
"C7H6O2.1",-37.14,-37.38,-42.96,-29.36,-28.12
"C7H6O2.2",-51.58,-53.36,-55.93,-58.77,-56.31
"C7H6O2.3",-25.31,-25.76,-29.44,-29.89,-27.52
"C7H12O2",-92.16,-90.68,-95.25,-93.07,-92.21
"C7H12O2.1",-92.64,-90.93,-96.83,-94.9,-94.17
"C7H12O2.2",-93.26,-92.25,-98.21,-94.9,-94.17
"C7H12O2.3",-94.24,-93.51,-100.86,-96.15,-95.73
"C7H12O2.4",-94.46,-93.64,-101.14,-96.46,-95.99
"C7H12O2.5",-98.26,-97.83,-104.47,-100.23,-99.66
"C3H4O3",-121.51,-121.27,-126.25,-129.22,-126.91
"C3H6O3",-111.35,-111.22,-114.56,-120.75,-113.93
"C3H8O3",-139.27,-138.38,-136.97,-143.54,-139.63
"C4H6O3",-136.83,-136.74,-142.71,-142.72,-141.58
"C4H10O3",-127.13,-126.62,-134.32,-135.66,-128.81
"C5H4O3",-106.88,-107.28,-110.78,-112.41,-112
"C5H10O3",-152.46,-151.58,-160.07,-159.04,-156.04
"C5H10O3.1",-111.64,-111.06,-116.17,-120.99,-114.46
"C5H12O3",-136.88,-135.77,-141.97,-144.23,-137.22
"C4H6O4",-196.7,-195.01,-195.01,-202.26,-201.11
"C4H8O4",-148.23,-148.57,-154.32,-159.23,-149.4
"C4H10O4",-185.28,-184.59,-179.74,-187.13,-181.71
"C2N2",73.3,73.52,71.58,74.84,77.32
"C4N2",126.48,127.11,122.17,127.15,132.21
"CH5N",-5.5,-4.51,-9.58,-3.77,-5.57
"C2H5N",30.23,30.54,26,27.7,28.52
"C2H7N",-11.33,-11.17,-17.2,-10.22,-12.42
"C2H7N.1",-4.45,-3.42,-11.26,-3.51,-5
"C3H3N",43.16,44.31,42.86,45.79,47.25
"C3H5N",12.31,13.34,10.31,14.14,14.71
"C3H7N",18.4,20.55,16.83,17.86,18.2
"C3H9N",-16.78,-16.18,-22.54,-14.89,-17.52
"C3H9N.1",-20.03,-19.44,-24.65,-17.84,-20.14
"C3H9N.2",-5.66,-5.58,-14.55,-6.11,-6.87
"C4H5N",25.88,25.49,23.35,23.44,23.62
"C4H5N.1",43.45,44.58,42.9,41.59,44.76
"C4H5N.2",37.72,39.53,39.04,41.07,42.41
"C4H5N.3",33.63,35.46,32.09,36.6,37.55
"C4H7N",8.03,8.07,4.67,9.22,9.35
"C4H7N.1",5.57,6.87,4.29,8.34,8.7
"C4H9N",-0.81,-0.23,-5,0.24,-2.26
"C4H9N.1",9.85,11.23,7.96,12.06,8.74
"C4H11N",-21.99,-21.18,-27.27,-19.32,-22.35
"C4H11N.1",-25.07,-24.75,-29.34,-22.65,-25.24
"C4H11N.2",-28.9,-28.79,-31.87,-26.16,-28.31
"C4H11N.3",-17.33,-17.15,-25.5,-16.23,-18.57
"C4H11N.4",-23.59,-23.09,-28.41,-21.27,-24.09
"C5H5N",33.56,32.67,27.94,31.65,31.74
"C5H7N",24.64,24,20,21.92,22.29
"C5H7N.1",28.63,30.73,27.07,32.35,32.85
"C5H7N.2",30.02,31.62,29.59,33.17,34
"C5H9N",-0.6,-1.08,-1.97,1.35,1.8
"C5H9N.1",2.51,2.96,-0.65,4.56,4.2
