"","Ref","M11","M06-2X","ωB97","LC-τHCTH","HISS","LC-ωPBE","MP2"
"1085",64.603,64.201,64.619,64.175,64.521,63.756,63.079,64.997
"1108",97.624,95.823,96.189,94.98,95.674,94.509,93.843,97.608
"1109",62.019,64.396,64.697,63.634,63.964,64.191,62.534,62.433
"1115",89.716,88.54,88.706,87.075,87.769,86.86,85.991,90.429
"1117",54.521,54.131,54.511,54.035,54.28,53.579,53.045,54.884
"1119",115.896,112.682,112.956,110.731,111.611,110.242,109.508,116.097
"1135",87.246,87.493,87.659,85.767,86.677,86.021,84.656,87.859
"1149",48.399,47.579,48.019,47.938,48.32,47.298,46.961,48.741
"1193",48.87,48.922,48.675,48.765,48.835,47.907,47.788,49.145
"1194",56.429,56.582,56.458,56.374,56.67,55.694,55.254,56.463
"1197",47.32,48.201,47.894,48.189,48.146,47.36,47.178,47.396
"1207",60.112,62.287,62.356,61.79,61.784,62.261,60.647,59.681
"1209",64.167,65.154,65.002,64.382,64.907,64.113,63.461,64.574
"1241",35.104,35.155,35.031,35.499,35.571,34.703,34.833,35.28
"1250",45.666,45.984,45.878,46.048,45.958,45.208,45.212,45.649
"1251",78.067,76.829,76.823,75.703,75.891,75.194,74.694,78.605
"1256",112.564,111.01,112.02,109.705,110.578,110.945,108.381,114.075
"1314",60.864,61.425,61.32,60.399,60.994,60.307,59.565,61.398
"1315",46.673,46.901,46.862,46.784,46.92,46.317,46.03,46.908
"1332",80.271,79.714,80.334,79.049,80.01,79.33,77.89,80.032
"1344",75.764,75.711,75.728,74.85,74.985,74.44,73.846,76.242
"1361",65.681,64.854,65.183,64.931,64.938,64.324,63.841,66.253
"1363",48.861,47.208,47.985,47.407,46.737,46.865,46.448,48.798
"1367",69.561,69.143,69.373,68.942,69.186,68.531,67.856,70.222
"1378",71.306,70.382,70.999,70.695,70.522,70.059,69.487,71.729
"1382",40.403,40.831,40.559,41.503,41.199,40.381,40.724,40.663
"1391",58.389,57.96,57.796,58.704,58.416,57.304,57.739,59.18
"1395",77.659,80.902,81.074,79.509,79.486,80.564,78.347,78.011
"1396",88.525,91.148,91.808,90.26,89.627,92.118,88.72,88.516
"1406",66.076,65.212,65.532,65.185,65.28,64.57,64.085,66.78
"1408",49.65,50.001,50.066,50.012,50.16,49.65,49.198,50.041
"1409",69.437,69.129,69.346,68.857,69.16,68.491,67.788,70.115
"1428",59.28,58.669,58.716,58.837,58.63,57.927,57.841,59.902
"1429",81.069,80.719,81.022,80.228,80.865,79.811,79.07,81.367
"1438",50.799,51.069,51.074,50.9,50.826,50.244,49.968,50.851
"1444",72.434,72.4,72.397,72.194,72.164,71.382,70.813,72.642
