"","systems","HF","MP2","CCSD(T)","LSDA","PBE","HCTH","N12","revTPSS","tHCTH","M11-L","MN12-L","PBE0","mPW1PW","B3LYP","B3PW91","B97-2","M06","M06-2X","M06-HF","SOGGA11X","tHCTHhyb","BMK","TPSSh","LC-rTPSS","LC-wPBE","LC-N12","LC-HCTH","LC-tHCTH","M11","CAM-B3LYP","wB97XD","wB97","wB97X","N12-SX","MN12-SX","HSE06","HISS"
20,0281,54.672,54.561,54.422,59.092,58.699,58.195,57.990,57.890,58.192,60.363,59.168,56.715,56.568,57.302,56.805,56.740,57.146,55.811,55.348,56.468,57.351,56.254,57.225,54.540,54.769,54.074,55.227,56.062,55.839,56.355,56.431,55.755,56.116,56.448,58.553,56.780,55.395
21,0282,64.054,65.489,65.170,70.241,69.554,68.743,68.318,68.422,68.732,71.626,69.497,67.046,66.842,67.741,67.137,66.941,67.921,66.226,65.753,66.392,67.733,66.410,67.610,64.502,64.732,63.610,65.102,66.036,66.421,66.588,66.597,65.586,66.138,66.626,69.299,67.152,65.432
22,0287,65.404,68.587,68.509,74.086,73.947,72.994,72.482,72.676,72.511,73.295,71.855,70.206,70.024,71.266,70.536,70.251,71.162,68.803,66.786,69.152,71.212,69.479,71.360,66.658,67.460,66.053,67.536,68.483,69.055,69.517,69.781,68.801,69.284,69.724,71.370,70.430,68.147
23,0306,56.894,60.907,60.476,63.341,62.995,62.317,61.651,61.807,61.995,66.239,63.009,60.258,60.080,61.209,60.318,60.184,61.346,59.736,59.843,60.035,60.833,59.561,60.825,57.779,58.117,56.786,58.546,59.363,59.687,59.964,59.962,58.985,59.523,59.525,63.583,60.383,58.521
24,0318,56.738,58.962,58.364,63.039,62.520,62.158,61.419,61.372,61.744,63.574,62.474,59.866,59.618,60.580,59.881,59.815,60.307,58.726,58.010,59.336,60.506,58.868,60.538,57.488,57.782,56.656,58.509,59.140,58.778,59.519,59.478,58.778,59.167,59.284,61.815,59.947,58.179
25,0332,42.972,46.527,46.236,49.487,49.088,48.554,47.871,48.193,48.307,49.081,48.088,46.721,46.535,47.212,46.807,46.661,46.972,45.790,45.004,46.129,47.253,45.803,47.364,45.070,45.417,44.382,45.506,45.862,45.911,46.458,46.469,46.110,46.301,46.130,47.849,46.764,45.203
26,0336,47.377,50.994,50.959,53.789,53.424,52.728,52.148,52.623,52.576,53.246,52.191,50.976,50.834,51.513,51.113,50.940,51.502,50.149,49.383,50.499,51.557,50.331,51.707,49.523,49.843,48.891,49.788,50.312,50.357,50.795,50.816,50.609,50.709,50.445,52.107,51.013,49.508
27,0342,65.216,67.471,67.214,72.666,72.551,71.737,71.184,71.517,71.485,74.778,72.056,69.219,69.008,70.266,69.383,69.287,69.520,68.032,67.503,68.769,70.271,68.850,70.259,65.966,66.475,64.853,66.862,68.026,67.743,68.724,68.854,67.887,68.377,68.488,71.456,69.316,67.033
28,0346,99.451,101.935,101.446,109.628,109.073,107.739,107.196,107.494,107.637,114.046,108.542,104.609,104.338,106.080,104.861,104.619,105.836,103.644,103.477,103.664,106.047,104.215,105.868,98.827,99.326,97.083,99.979,101.864,102.891,103.218,103.291,100.930,102.148,103.914,108.710,104.887,101.836
29,0351,27.176,28.744,28.588,30.855,30.574,30.293,29.837,30.017,30.127,30.690,30.205,29.197,29.072,29.484,29.219,29.139,29.200,28.616,28.320,28.819,29.492,28.633,29.541,28.336,28.493,27.878,28.647,28.812,28.788,29.109,29.086,28.910,29.015,28.854,30.007,29.216,28.336
30,0353,15.864,16.846,16.773,18.062,17.940,17.731,17.409,17.632,17.645,17.951,17.594,17.112,17.046,17.298,17.139,17.078,17.188,16.738,16.353,16.895,17.275,16.734,17.328,16.728,16.842,16.452,16.882,16.933,16.868,17.130,17.101,17.079,17.099,16.886,17.509,17.119,16.607
31,0361,74.176,71.830,70.979,75.038,74.871,74.662,74.481,74.240,74.624,79.018,77.308,73.473,73.330,74.372,73.385,73.521,74.875,72.825,72.449,74.023,74.050,73.419,73.803,71.186,71.177,70.745,72.734,74.024,72.456,73.458,73.449,72.705,73.174,73.256,76.710,73.585,72.539
32,0381,101.789,106.926,106.750,113.390,112.567,110.139,109.218,111.203,110.300,114.461,108.158,107.902,107.673,109.176,108.326,107.624,109.920,107.239,106.803,106.399,109.112,107.256,109.251,103.329,103.839,101.048,103.231,105.159,107.654,106.814,106.980,104.755,105.969,107.085,109.654,108.146,105.084
33,0390,82.167,80.994,80.271,90.763,90.707,89.957,90.200,89.787,90.140,94.775,91.805,87.103,86.940,88.462,87.497,87.419,86.366,84.827,84.776,86.013,88.739,86.670,88.494,80.451,81.056,79.651,81.450,83.127,83.830,85.277,85.304,82.633,83.846,87.009,90.514,87.412,84.837
34,0393,36.286,36.577,36.700,39.762,39.826,39.406,39.203,39.378,39.288,41.440,39.706,38.044,37.983,38.740,38.183,38.141,38.435,37.247,36.732,37.927,38.647,37.910,38.694,36.193,36.475,35.767,36.705,37.413,37.132,37.894,37.947,37.342,37.651,37.678,39.524,38.097,36.798
35,0397,75.623,80.846,80.455,86.427,85.625,84.239,83.087,83.946,83.953,87.771,83.206,81.309,81.033,82.458,81.502,81.160,82.872,80.293,79.393,80.263,82.354,80.299,82.406,77.502,78.047,75.954,78.354,79.602,80.246,80.555,80.573,79.124,79.916,80.207,83.853,81.500,78.775
36,0399,30.035,32.223,32.296,35.069,34.976,34.480,33.856,34.420,34.262,34.728,33.782,32.740,32.642,33.273,32.875,32.767,33.337,31.877,30.889,32.472,33.247,31.990,33.534,31.443,31.744,30.950,31.711,32.012,31.980,32.610,32.628,32.403,32.510,32.225,33.637,32.779,31.449
37,0425,56.935,58.763,58.300,60.206,59.993,59.499,58.816,59.244,59.285,62.204,59.823,58.344,58.186,59.085,58.368,58.293,59.094,58.058,57.753,58.402,58.792,58.340,58.646,56.566,56.749,55.723,57.483,58.420,57.648,58.313,58.286,57.744,58.123,57.824,60.109,58.425,57.220
38,0438,51.656,54.053,54.080,56.681,56.709,56.011,55.561,56.228,55.861,57.036,56.192,54.490,54.395,55.186,54.649,54.513,55.159,53.642,52.843,54.246,55.102,54.083,55.293,52.815,53.182,52.261,53.271,53.993,53.668,54.374,54.453,54.148,54.322,54.120,55.987,54.545,53.132
39,0445,53.183,57.988,57.567,59.821,59.525,58.583,58.053,58.843,58.520,59.805,57.802,57.142,57.030,57.904,57.339,57.085,57.900,56.674,56.424,56.610,57.765,56.773,57.886,55.521,55.903,54.786,55.875,56.697,57.066,57.114,57.140,56.647,56.950,56.558,58.344,57.224,55.620
40,0460,92.280,98.201,97.975,102.828,102.220,100.823,99.676,100.694,100.561,104.721,100.093,98.138,97.888,99.389,98.408,98.028,99.298,97.361,96.823,97.179,99.167,97.450,99.130,94.103,94.736,92.493,94.969,96.394,97.206,97.383,97.442,95.881,96.737,97.076,100.787,98.340,95.563
41,0470,34.026,35.078,35.178,37.690,37.372,36.786,36.309,36.714,36.672,38.448,36.702,35.775,35.668,36.269,35.866,35.699,36.448,35.321,34.449,35.482,36.128,35.495,36.148,34.487,34.646,33.915,34.782,35.305,35.194,35.668,35.666,35.191,35.473,35.379,36.867,35.829,34.740
42,0489,61.298,65.958,65.358,70.021,69.453,69.020,68.107,68.101,68.462,69.779,68.508,66.092,65.798,66.906,66.119,66.005,66.690,65.026,64.711,65.149,66.868,64.842,67.012,63.222,63.632,62.153,64.194,64.736,65.032,65.527,65.437,64.544,65.035,65.383,68.272,66.208,64.062
43,0529,47.310,51.553,51.192,54.952,54.517,54.003,53.300,53.482,53.687,54.621,53.578,51.695,51.481,52.269,51.794,51.652,51.907,50.673,50.166,50.992,52.346,50.661,52.503,49.486,49.861,48.742,49.968,50.354,50.741,51.204,51.220,50.591,50.898,51.065,53.265,51.762,49.940
44,0533,58.318,63.374,62.833,67.466,67.025,66.619,65.587,65.651,65.943,67.274,65.601,63.399,63.111,64.285,63.450,63.346,64.020,62.162,61.342,62.445,64.203,61.991,64.454,60.280,60.744,59.176,61.277,61.767,61.920,62.757,62.627,61.689,62.192,62.597,65.477,63.522,61.203
45,0556,47.840,52.179,51.783,55.482,54.943,54.401,53.693,53.780,54.078,54.848,54.035,52.209,51.988,52.779,52.304,52.135,52.440,51.159,50.277,51.429,52.799,51.126,52.912,50.026,50.407,49.293,50.545,50.916,51.265,51.753,51.707,51.083,51.393,51.587,53.690,52.277,50.486
46,0580,38.502,39.650,39.526,42.583,42.630,42.222,41.965,42.088,42.041,44.601,42.790,40.608,40.511,41.364,40.721,40.687,40.991,39.876,39.451,40.500,41.244,40.417,41.319,38.566,38.839,38.000,39.132,39.831,39.602,40.380,40.422,39.729,40.083,40.185,42.509,40.665,39.221
47,0599,26.984,28.512,28.256,29.964,29.805,29.583,29.220,29.361,29.452,30.090,29.502,28.581,28.479,28.923,28.612,28.560,28.726,28.171,27.853,28.326,28.874,28.166,28.937,27.694,27.831,27.322,28.049,28.265,28.208,28.524,28.466,28.273,28.382,28.283,29.448,28.603,27.795
48,0617,66.604,66.886,66.829,74.702,74.600,73.869,73.830,73.733,73.877,76.464,74.513,71.192,71.056,72.285,71.546,71.412,70.888,69.233,68.541,70.294,72.507,70.600,72.457,66.383,66.961,65.744,67.126,68.326,68.701,69.973,70.075,68.226,69.067,70.986,73.610,71.379,69.074
49,0654,50.669,52.472,52.551,56.248,56.021,55.122,54.750,55.353,55.065,57.114,54.748,53.671,53.562,54.479,53.904,53.670,54.133,52.971,52.482,53.123,54.407,53.635,54.394,51.324,51.691,50.527,51.722,52.747,53.022,53.344,53.478,52.545,53.048,53.320,54.935,53.761,52.164
50,0655,36.562,37.620,37.720,40.425,40.430,39.849,39.559,40.035,39.763,40.787,39.838,38.701,38.623,39.242,38.836,38.728,38.774,38.012,37.791,38.416,39.231,38.571,39.299,37.320,37.608,36.794,37.628,38.258,38.046,38.590,38.687,38.371,38.540,38.387,39.667,38.737,37.632
51,0670,39.415,38.670,38.854,41.562,41.544,41.118,41.074,41.206,41.116,42.801,41.830,40.389,40.311,40.933,40.473,40.429,40.288,39.904,40.013,40.285,40.857,40.545,40.746,38.771,38.961,38.379,39.305,40.093,39.799,40.261,40.337,39.778,40.101,40.194,41.632,40.431,39.485
52,0710,48.560,51.992,51.761,54.643,54.159,53.431,52.685,53.197,53.217,55.152,52.967,51.908,51.732,52.579,52.032,51.805,52.586,51.323,50.669,51.327,52.456,51.531,52.411,49.848,50.180,48.983,50.399,51.129,51.434,51.633,51.634,50.852,51.303,51.346,53.257,51.993,50.476
53,0722,60.706,64.501,64.234,68.566,67.962,66.725,65.971,66.882,66.635,69.441,66.008,64.863,64.689,65.790,65.112,64.752,65.848,64.160,63.568,64.105,65.661,64.480,65.658,62.048,62.436,60.839,62.491,63.631,64.429,64.371,64.439,63.240,63.900,64.229,66.440,65.000,62.993
54,0753,56.738,58.731,58.396,60.706,60.459,59.906,59.221,59.642,59.670,62.741,60.153,58.541,58.380,59.329,58.597,58.502,59.336,58.139,57.703,58.523,59.073,58.530,58.939,56.483,56.717,55.631,57.362,58.339,57.730,58.404,58.403,57.722,58.151,58.020,60.413,58.632,57.289
55,0757,47.361,47.671,47.502,51.150,50.703,50.199,49.730,49.641,49.966,53.842,51.132,48.810,48.647,49.502,48.823,48.720,49.643,48.285,47.731,48.523,49.211,48.404,49.055,46.947,47.084,46.199,47.724,48.477,48.199,48.612,48.573,47.844,48.269,48.325,51.280,48.906,47.662
56,0761,90.553,93.123,93.079,99.944,99.424,98.123,97.456,98.036,98.023,102.717,98.084,95.370,95.131,96.603,95.634,95.364,96.578,94.479,94.005,94.505,96.595,94.892,96.510,90.607,91.102,89.057,91.531,93.199,94.043,94.271,94.371,92.517,93.503,94.691,98.342,95.587,92.861
57,0762,34.553,33.666,33.646,35.316,35.097,34.629,34.270,34.657,34.651,37.708,35.772,34.343,34.257,34.845,34.360,34.269,35.114,34.272,33.876,34.550,34.508,34.477,34.358,33.530,33.519,33.052,34.073,34.828,34.205,34.497,34.521,34.156,34.414,33.991,35.872,34.400,33.841
58,0765,65.491,68.611,67.916,71.606,71.417,70.881,70.219,70.504,70.618,73.206,71.247,68.727,68.545,69.596,68.823,68.755,69.792,67.785,66.743,68.380,69.498,68.097,69.535,65.921,66.318,65.069,66.870,67.737,67.386,68.288,68.328,67.474,67.934,68.209,71.000,68.843,67.066
59,0767,61.573,63.277,63.530,66.877,66.461,65.183,64.340,65.515,65.069,68.707,64.579,64.132,63.993,65.120,64.368,63.961,65.622,63.857,62.617,63.556,64.682,64.228,64.582,61.802,62.117,60.575,62.215,63.501,64.074,63.936,64.001,62.856,63.551,63.606,65.634,64.277,62.678
60,0768,62.023,68.597,68.239,72.244,72.033,71.169,70.226,70.593,70.734,75.311,70.794,67.869,67.685,69.183,68.117,67.909,69.364,66.833,66.341,67.374,68.830,66.604,69.022,64.103,64.789,63.064,64.826,65.683,66.669,67.185,67.332,65.748,66.528,66.839,71.519,68.043,65.277
61,0769,53.152,58.611,58.313,61.102,60.908,60.138,59.382,59.744,59.773,63.786,60.048,57.684,57.535,58.823,57.852,57.671,59.029,57.002,56.921,57.498,58.386,56.847,58.506,54.841,55.380,53.945,55.516,56.313,57.035,57.332,57.400,56.237,56.836,56.874,60.870,57.821,55.640
62,0818,52.531,53.477,53.316,56.715,56.283,55.258,54.807,55.518,55.313,58.451,55.558,54.420,54.305,55.171,54.571,54.291,55.751,54.070,53.372,54.082,54.929,54.407,54.810,52.584,52.784,51.729,52.956,54.075,54.345,54.319,54.409,53.513,54.053,54.104,56.035,54.518,53.212
63,0820,38.439,40.183,39.926,43.087,42.992,42.383,41.769,42.448,42.289,43.521,42.421,41.056,40.948,41.467,41.152,41.032,41.630,40.239,39.317,40.632,41.523,40.352,41.666,40.085,40.365,39.428,40.266,40.641,40.542,40.964,41.000,41.037,41.006,40.621,42.199,41.090,40.033
64,0833,62.372,61.458,61.074,66.501,66.116,65.658,65.596,65.238,65.687,69.119,67.604,64.066,63.896,64.834,64.111,64.103,64.480,63.069,62.966,63.842,64.821,63.710,64.596,61.230,61.415,60.667,62.230,63.300,62.857,63.605,63.657,62.598,63.150,63.784,66.810,64.170,62.655
65,0841,53.446,55.196,55.043,57.383,57.390,56.820,56.199,56.803,56.627,58.671,57.036,55.403,55.278,56.055,55.454,55.398,56.008,54.862,54.328,55.286,55.927,55.048,55.994,53.725,53.983,52.944,54.332,55.065,54.563,55.281,55.315,54.983,55.178,54.880,57.151,55.456,54.194
66,0843,60.751,63.484,63.311,66.412,65.955,65.064,64.545,64.998,64.915,67.388,65.299,63.609,63.437,64.349,63.662,63.476,64.412,63.247,63.293,63.286,64.147,63.236,64.128,61.688,61.901,60.820,62.310,63.279,63.319,63.443,63.359,62.844,63.171,63.114,65.826,63.698,62.149
67,0846,73.304,74.639,75.135,79.979,79.706,78.748,78.405,78.593,78.519,80.365,78.735,76.733,76.528,77.583,76.890,76.715,77.183,76.020,75.462,76.104,77.585,76.432,77.539,73.636,74.189,72.885,74.516,75.701,76.114,76.173,76.459,75.631,76.098,76.195,78.516,76.888,74.860
68,0847,61.965,64.153,64.067,68.311,67.888,66.803,66.388,66.702,66.609,68.891,66.378,65.099,64.918,66.067,65.300,65.003,66.032,64.601,63.670,64.271,65.841,64.866,65.773,62.211,62.677,61.420,63.008,64.119,64.924,64.657,64.869,63.763,64.389,64.586,66.619,65.314,63.485
69,0852,89.895,95.559,94.885,99.693,99.162,97.938,96.816,97.479,97.449,100.426,96.855,95.161,94.883,96.518,95.444,95.054,95.891,94.460,93.740,93.948,96.162,94.507,96.099,90.976,91.671,89.603,92.264,93.694,94.390,94.429,94.430,92.957,93.811,94.244,97.487,95.446,92.838
70,0884,40.030,41.908,42.045,45.103,44.897,44.261,43.772,44.326,44.117,44.809,43.995,42.881,42.758,43.311,42.981,42.852,43.023,42.134,41.894,42.488,43.375,42.393,43.489,41.690,41.975,41.032,41.916,42.409,42.401,42.745,42.825,42.729,42.786,42.438,43.862,42.905,41.671
71,0886,41.537,41.740,41.708,44.850,44.785,44.248,43.959,44.329,44.218,45.605,44.600,43.178,43.099,43.699,43.291,43.211,43.713,42.480,41.836,43.016,43.669,42.895,43.684,41.904,42.152,41.461,42.327,43.008,42.628,43.109,43.191,42.980,43.102,42.923,44.317,43.219,42.222
72,0890,41.353,44.370,44.348,47.652,47.336,46.673,45.940,46.573,46.435,47.032,46.058,44.856,44.706,45.339,44.961,44.810,45.288,43.997,43.183,44.369,45.408,44.096,45.603,43.477,43.796,42.754,43.717,44.132,44.125,44.666,44.725,44.565,44.645,44.242,45.898,44.889,43.402
73,0909,53.147,53.790,53.553,58.617,58.595,57.868,57.761,57.970,57.927,60.712,58.697,56.226,56.122,57.066,56.446,56.336,56.261,55.149,54.983,55.818,57.129,56.131,57.053,53.279,53.712,52.651,53.774,54.808,55.084,55.676,55.812,54.763,55.257,55.882,58.282,56.329,54.660
