"","systems","HF","MP2","CCSD(T)","LSDA","PBE","HCTH","N12","revTPSS","tHCTH","M11-L","MN12-L","PBE0","mPW1PW","B3LYP","B3PW91","B97-2","M06","M06-2X","M06-HF","SOGGA11X","tHCTHhyb","BMK","TPSSh","LC-rTPSS","LC-wPBE","LC-N12","LC-HCTH","LC-tHCTH","M11","CAM-B3LYP","wB97XD","wB97","wB97X","N12-SX","MN12-SX","HSE06","HISS"
84,1032,27.145,29.097,28.975,31.198,31.050,30.659,30.119,30.579,30.510,31.189,30.495,29.508,29.403,29.805,29.562,29.466,29.735,28.865,28.255,29.142,29.834,28.870,29.972,28.750,28.961,28.254,28.925,29.063,29.071,29.438,29.468,29.432,29.446,29.120,30.381,29.525,28.617
85,1046,43.321,47.740,46.884,45.165,45.150,44.488,44.120,44.819,44.362,44.781,44.496,44.353,44.294,44.797,44.394,44.226,44.626,44.535,44.623,44.486,44.467,44.787,44.446,44.630,44.751,44.198,44.946,45.574,44.738,44.924,44.896,45.395,45.247,43.987,45.033,44.342,43.835
86,1047,59.994,63.649,63.063,66.415,66.264,65.693,65.041,65.378,65.429,67.407,65.509,63.548,63.383,64.366,63.678,63.586,64.514,62.586,61.334,63.145,64.289,62.840,64.387,60.939,61.384,60.155,61.727,62.481,62.239,63.134,63.170,62.452,62.834,63.024,65.347,63.652,61.868
87,1048,73.027,74.768,74.666,78.344,78.205,77.464,76.840,77.391,77.342,80.237,77.578,75.710,75.552,76.625,75.871,75.757,76.351,74.923,74.410,75.526,76.499,75.477,76.402,72.830,73.187,71.867,73.731,74.946,74.498,75.281,75.334,74.436,74.954,75.194,77.627,75.828,74.101
88,1049,87.733,93.935,93.152,96.027,95.635,94.568,93.284,94.073,94.189,100.868,94.665,91.924,91.718,93.404,92.134,91.871,93.681,91.490,91.447,91.446,92.808,91.418,92.651,88.374,88.897,86.827,89.572,91.021,91.146,91.581,91.547,90.023,90.933,90.965,95.661,92.147,89.727
89,1074,51.716,53.538,52.962,55.140,55.030,54.604,54.211,54.341,54.439,56.273,54.772,53.285,53.165,53.918,53.335,53.301,54.181,52.737,51.916,53.412,53.743,53.007,53.712,51.904,52.165,51.463,52.682,53.412,52.519,53.335,53.371,53.159,53.326,52.903,54.776,53.327,52.178
90,1085,62.678,64.997,64.603,68.219,67.977,67.321,66.512,66.961,67.026,70.329,67.360,65.442,65.265,66.303,65.543,65.427,66.500,64.619,63.329,65.163,66.093,64.898,66.055,62.697,63.079,61.737,63.584,64.521,64.201,65.073,65.108,64.175,64.715,64.815,67.528,65.544,63.756
91,1108,91.079,97.608,97.624,101.989,101.593,100.210,98.603,100.076,99.820,104.580,99.210,97.034,96.796,98.575,97.395,96.985,98.533,96.189,95.061,96.159,98.122,96.120,98.242,93.192,93.843,91.466,94.246,95.674,95.823,96.398,96.296,94.980,95.702,95.884,99.990,97.294,94.509
92,1109,62.722,62.433,62.019,68.811,68.463,67.829,67.879,67.485,67.938,71.395,69.410,65.931,65.764,66.749,66.103,66.023,65.709,64.697,64.786,65.326,66.912,65.615,66.661,62.175,62.534,61.510,62.865,63.964,64.396,65.036,65.097,63.634,64.331,65.675,68.670,66.062,64.191
93,1115,84.222,90.429,89.716,93.408,92.782,91.683,90.521,91.250,91.357,96.781,91.790,89.180,88.937,90.449,89.342,89.057,90.803,88.706,88.375,88.611,90.043,88.567,89.939,85.489,85.991,83.973,86.502,87.769,88.540,88.636,88.629,87.075,87.941,88.240,92.754,89.372,86.860
94,1117,52.591,54.884,54.521,57.644,57.475,56.857,56.042,56.591,56.553,60.312,57.194,55.117,54.957,55.924,55.199,55.096,56.257,54.511,53.328,54.946,55.696,54.766,55.722,52.745,53.045,51.849,53.454,54.280,54.131,54.796,54.848,54.035,54.488,54.449,57.374,55.208,53.579
95,1119,106.635,116.097,115.896,118.474,117.895,116.224,114.428,116.059,115.758,122.631,115.098,113.215,112.953,114.938,113.557,113.074,115.503,112.956,112.711,112.304,114.302,112.762,114.190,108.705,109.508,106.536,109.870,111.611,112.682,112.658,112.689,110.731,111.875,111.842,116.822,113.479,110.242
96,1135,83.867,87.859,87.246,93.070,92.073,91.069,90.157,90.281,90.745,96.520,91.872,88.353,88.041,89.433,88.399,88.176,89.704,87.659,87.373,87.448,89.259,87.551,89.103,84.325,84.656,82.843,85.416,86.677,87.493,87.503,87.501,85.767,86.719,87.478,92.322,88.546,86.021
97,1149,46.999,48.741,48.399,50.061,49.965,49.626,49.214,49.398,49.428,51.500,50.227,48.393,48.268,49.055,48.408,48.404,49.024,48.019,47.704,48.634,48.837,48.281,48.807,46.782,46.961,46.279,47.582,48.320,47.579,48.356,48.398,47.938,48.218,47.983,50.183,48.444,47.298
98,1193,47.033,49.145,48.870,50.605,50.576,49.905,49.506,49.797,49.608,50.813,49.647,48.905,48.784,49.576,49.037,48.845,49.578,48.675,47.658,48.494,49.310,49.043,49.254,47.344,47.788,46.960,48.067,48.835,48.922,48.880,49.082,48.765,48.992,48.507,49.791,49.027,47.907
99,1194,55.132,56.463,56.429,58.898,58.878,58.234,57.961,57.974,57.937,59.820,58.319,56.899,56.774,57.772,57.043,56.880,57.869,56.458,55.181,56.490,57.440,56.894,57.361,54.762,55.254,54.417,55.759,56.670,56.582,56.815,56.969,56.374,56.746,56.541,58.328,57.054,55.694
100,1197,46.537,47.396,47.320,50.272,50.230,49.572,49.117,49.422,49.298,50.694,49.473,48.385,48.255,49.040,48.511,48.341,49.179,47.894,46.561,47.908,48.849,48.262,48.826,46.729,47.178,46.281,47.405,48.146,48.201,48.280,48.497,48.189,48.394,47.996,49.297,48.516,47.360
101,1207,60.505,59.681,60.112,66.645,66.618,65.888,65.895,66.016,65.949,67.540,66.176,63.992,63.903,64.864,64.314,64.187,63.530,62.356,61.825,63.323,65.037,63.636,64.981,60.125,60.647,59.654,60.680,61.784,62.287,63.047,63.198,61.790,62.448,63.864,65.444,64.130,62.261
102,1209,62.900,64.574,64.167,68.748,68.051,67.245,66.785,66.992,67.192,70.088,68.036,65.677,65.468,66.366,65.735,65.558,66.457,65.002,64.727,65.161,66.317,65.154,66.195,63.263,63.461,62.340,63.916,64.907,65.154,65.287,65.334,64.382,64.921,65.224,67.871,65.777,64.113
103,1241,34.350,35.280,35.104,36.788,36.795,36.366,36.059,36.392,36.287,37.880,36.707,35.495,35.430,35.996,35.558,35.494,36.077,35.031,34.466,35.465,35.838,35.234,35.874,34.630,34.833,34.279,35.068,35.571,35.155,35.605,35.599,35.499,35.580,35.203,36.697,35.525,34.703
104,1250,43.750,45.649,45.666,49.057,48.732,48.184,47.762,48.040,48.049,49.114,48.235,46.609,46.460,47.121,46.691,46.597,46.861,45.878,45.603,46.313,47.167,46.046,47.232,44.936,45.212,44.331,45.379,45.958,45.984,46.369,46.449,46.048,46.271,46.165,47.974,46.647,45.208
105,1251,72.068,78.605,78.067,81.860,81.394,80.546,79.490,79.961,80.151,84.506,80.528,77.639,77.414,78.830,77.814,77.609,78.861,76.823,76.429,77.162,78.517,76.543,78.587,74.081,74.694,72.936,74.981,75.891,76.829,77.077,77.143,75.703,76.443,76.689,81.115,77.794,75.194
106,1256,106.563,114.075,112.564,118.966,118.542,117.234,115.986,116.989,116.941,121.353,116.076,113.644,113.407,115.359,114.141,113.724,114.747,112.020,110.421,112.410,115.116,112.673,115.088,107.618,108.381,105.983,108.826,110.578,111.010,112.196,112.004,109.705,110.875,112.873,116.499,114.005,110.945
107,1314,58.680,61.398,60.864,65.399,64.576,63.919,63.272,63.281,63.682,66.648,64.355,62.011,61.751,62.703,62.017,61.862,62.442,61.320,61.488,61.401,62.611,61.274,62.480,59.349,59.565,58.284,60.148,60.994,61.425,61.504,61.506,60.399,61.024,61.372,64.283,62.121,60.307
108,1315,45.030,46.908,46.673,50.389,49.895,49.578,49.166,48.933,49.297,50.606,49.919,47.722,47.523,48.247,47.742,47.676,47.931,46.862,46.677,47.304,48.247,46.959,48.247,45.800,46.030,45.270,46.457,46.920,46.901,47.393,47.418,46.784,47.125,47.318,49.433,47.778,46.317
109,1332,78.107,80.032,80.271,84.857,84.482,83.438,82.420,83.198,83.267,88.621,84.253,81.206,81.024,82.498,81.400,81.169,82.591,80.334,79.737,80.797,82.068,80.552,81.937,77.569,77.890,76.264,78.626,80.010,79.714,80.576,80.571,79.049,79.852,80.296,84.591,81.424,79.330
110,1344,71.848,76.242,75.764,80.399,79.935,78.809,77.636,78.712,78.491,82.296,78.339,76.490,76.247,77.422,76.631,76.355,77.651,75.728,75.014,75.649,77.308,75.834,77.385,73.420,73.846,71.863,74.015,74.985,75.711,75.879,75.920,74.850,75.443,75.599,78.890,76.632,74.440
111,1361,62.076,66.253,65.681,69.795,69.522,68.982,68.118,68.448,68.587,70.643,68.752,66.302,66.078,67.164,66.414,66.323,67.206,65.183,64.123,65.720,67.129,65.282,67.297,63.398,63.841,62.473,64.275,64.938,64.854,65.747,65.769,64.931,65.368,65.589,68.456,66.419,64.324
112,1363,43.720,48.798,48.861,54.410,54.021,53.867,52.825,52.036,52.669,55.197,52.634,49.482,49.229,50.353,49.642,49.578,50.155,47.985,45.940,48.653,50.324,48.015,50.598,45.728,46.448,45.085,46.439,46.737,47.208,48.381,48.595,47.407,47.932,48.746,52.142,49.582,46.865
113,1367,66.472,70.222,69.561,73.903,73.545,73.024,72.296,72.446,72.668,74.986,73.255,70.407,70.176,71.263,70.484,70.402,71.322,69.373,68.681,69.800,71.243,69.486,71.355,67.482,67.856,66.542,68.439,69.186,69.143,69.855,69.834,68.942,69.414,69.811,72.919,70.532,68.531
114,1378,68.013,71.729,71.306,75.698,75.692,74.872,73.740,74.604,74.479,77.493,74.047,72.159,71.962,73.113,72.358,72.215,73.152,70.999,69.328,71.562,73.051,71.243,73.227,68.935,69.487,67.691,69.660,70.522,70.382,71.508,71.576,70.695,71.143,71.230,74.026,72.286,70.059
115,1382,38.901,40.663,40.403,43.526,43.426,42.798,42.183,42.895,42.652,43.770,42.744,41.429,41.317,41.895,41.524,41.405,42.018,40.559,39.741,41.059,41.908,40.828,42.063,40.454,40.724,39.763,40.720,41.199,40.831,41.392,41.446,41.503,41.476,40.974,42.483,41.466,40.381
116,1391,55.155,59.180,58.389,61.240,61.182,60.427,59.713,60.473,60.223,61.117,59.736,58.692,58.566,59.364,58.848,58.697,59.493,57.796,56.771,58.379,59.320,58.114,59.464,57.269,57.739,56.545,57.734,58.416,57.960,58.655,58.732,58.704,58.733,58.157,59.717,58.743,57.304
117,1395,77.415,78.011,77.659,87.479,86.774,85.926,85.965,85.229,86.162,90.104,87.447,82.988,82.752,83.852,83.275,83.112,82.740,81.074,80.705,81.860,84.360,82.012,84.051,77.817,78.347,77.019,78.337,79.486,80.902,81.395,81.479,79.509,80.374,82.690,86.388,83.173,80.564
118,1396,86.416,88.516,88.525,102.138,101.917,100.761,100.605,100.445,100.742,102.718,100.130,95.608,95.440,97.142,96.360,96.060,95.114,91.808,89.574,93.697,97.863,93.890,98.033,87.633,88.720,86.897,88.257,89.627,91.148,93.082,93.284,90.260,91.509,95.416,98.412,95.937,92.118
119,1406,62.377,66.780,66.076,69.766,69.528,68.994,68.126,68.519,68.607,70.741,68.818,66.489,66.269,67.363,66.580,66.500,67.397,65.532,64.683,65.996,67.275,65.566,67.423,63.650,64.085,62.711,64.586,65.280,65.212,66.005,66.017,65.185,65.628,65.749,68.681,66.603,64.570
120,1408,48.608,50.041,49.650,53.453,53.123,52.813,52.304,52.276,52.616,54.555,53.506,50.988,50.808,51.556,51.035,50.987,51.405,50.066,49.253,50.619,51.548,50.255,51.579,48.995,49.198,48.406,49.660,50.160,50.001,50.634,50.607,50.012,50.316,50.562,52.963,51.052,49.650
121,1409,66.484,70.115,69.437,73.754,73.396,72.907,72.170,72.294,72.553,74.918,73.184,70.328,70.091,71.196,70.397,70.318,71.240,69.346,68.715,69.729,71.148,69.422,71.242,67.430,67.788,66.521,68.434,69.160,69.129,69.796,69.779,68.857,69.345,69.714,72.868,70.452,68.491
122,1428,55.668,59.902,59.280,62.276,62.175,61.625,61.114,61.494,61.441,62.605,61.377,59.532,59.384,60.257,59.668,59.582,60.218,58.716,58.120,59.088,60.270,58.799,60.468,57.450,57.841,56.796,58.027,58.630,58.669,59.227,59.267,58.837,59.044,58.995,61.252,59.616,57.927
123,1429,78.269,81.367,81.069,85.169,84.729,83.645,82.748,83.566,83.487,86.758,83.032,81.660,81.456,82.685,81.826,81.587,82.850,81.022,80.458,81.217,82.474,81.173,82.392,78.714,79.070,77.388,79.574,80.865,80.719,81.244,81.225,80.228,80.829,80.965,83.637,81.814,79.811
124,1438,48.458,50.851,50.799,55.074,54.692,54.186,53.681,53.813,53.936,55.237,54.084,51.980,51.791,52.607,52.090,52.002,52.245,51.074,50.826,51.536,52.692,51.229,52.802,49.629,49.968,48.965,50.213,50.826,51.069,51.501,51.633,50.900,51.273,51.472,53.678,52.042,50.244
125,1444,69.351,72.642,72.434,76.571,76.403,75.551,74.999,75.225,75.181,76.887,74.890,73.254,73.059,74.216,73.456,73.265,74.117,72.397,70.975,72.573,74.118,72.785,74.139,70.168,70.813,69.479,71.168,72.164,72.400,72.761,72.989,72.194,72.630,72.638,74.844,73.437,71.382
126,1455,75.491,78.253,77.330,81.537,81.186,80.328,79.768,80.155,80.227,83.381,80.428,78.395,78.223,79.351,78.556,78.390,79.818,77.645,76.676,78.043,79.213,78.038,79.126,75.588,75.938,74.669,76.504,77.730,77.381,78.040,78.104,77.122,77.686,77.936,80.574,78.528,76.714
127,1457,56.230,56.770,56.941,59.554,59.375,58.768,58.511,58.745,58.669,60.421,59.352,57.563,57.445,58.147,57.603,57.538,57.838,57.390,58.158,57.595,58.026,57.539,58.011,56.243,56.346,55.732,56.831,57.664,57.377,57.500,57.483,57.347,57.449,57.212,59.572,57.603,56.471
128,1475,52.616,57.505,56.730,54.583,54.584,53.862,53.529,54.225,53.750,54.813,54.349,53.599,53.533,54.204,53.634,53.477,54.105,53.792,53.865,53.955,53.776,54.064,53.761,53.643,53.775,53.215,54.141,54.913,53.906,54.240,54.188,54.584,54.502,53.167,54.936,53.599,52.898
129,1479,82.145,86.555,86.006,89.838,89.293,88.148,87.323,87.984,87.979,91.692,88.474,86.173,85.947,87.206,86.312,86.050,86.842,85.709,85.910,85.701,86.938,85.626,86.824,83.257,83.666,82.014,84.099,85.441,85.681,85.844,85.763,84.834,85.402,85.408,89.078,86.298,84.125
130,1502,77.924,79.780,79.592,86.769,86.345,85.335,84.875,85.165,85.265,88.576,85.353,82.913,82.721,84.005,83.206,82.960,83.301,81.523,80.770,81.937,83.996,82.178,83.929,78.326,78.909,77.202,79.061,80.349,81.351,81.833,81.847,80.043,80.956,82.529,85.310,83.101,80.690
131,1563,62.609,67.153,67.214,70.955,70.811,69.850,69.003,69.651,69.376,70.160,68.439,67.425,67.225,68.318,67.663,67.394,68.155,66.516,64.888,66.453,68.225,66.732,68.450,64.802,65.519,63.938,65.505,66.254,66.878,67.019,67.210,66.679,66.973,66.656,68.509,67.587,65.479
132,1564,78.096,81.037,80.970,84.608,84.453,83.562,82.740,83.143,83.051,85.874,82.785,81.431,81.202,82.547,81.620,81.382,82.578,80.842,79.403,80.719,82.252,81.427,82.137,77.957,78.596,76.935,79.151,80.384,80.634,80.914,81.114,80.010,80.656,80.786,83.104,81.657,79.632
133,1588,93.337,100.557,100.186,104.359,103.792,102.452,101.186,102.277,102.086,106.806,101.984,99.400,99.152,100.856,99.708,99.332,101.034,98.627,98.013,98.610,100.519,98.770,100.561,95.184,95.840,93.615,96.154,97.566,98.335,98.662,98.697,97.051,97.939,98.407,102.684,99.641,96.772
134,1603,94.645,98.358,97.864,104.077,103.591,102.362,101.439,102.210,102.166,106.286,101.771,99.713,99.489,101.004,100.020,99.713,100.869,98.560,97.564,98.915,100.862,99.222,100.733,95.175,95.799,93.734,96.167,97.741,98.191,98.820,98.857,97.137,98.060,99.000,102.176,99.918,97.306
135,1604,85.372,92.336,91.970,95.720,95.236,93.852,92.583,93.849,93.500,97.845,93.098,91.171,90.944,92.450,91.471,91.077,92.498,90.492,89.821,90.374,92.161,90.671,92.230,87.596,88.226,86.035,88.345,89.636,90.370,90.572,90.661,89.340,90.061,90.165,93.835,91.360,88.741
136,1607,60.967,65.137,64.526,66.881,66.787,66.184,65.621,66.022,65.958,67.630,66.321,64.299,64.151,65.113,64.420,64.318,65.212,63.542,62.905,64.171,64.969,63.762,65.065,62.269,62.678,61.686,62.997,63.791,63.389,64.176,64.256,63.774,64.056,63.789,66.241,64.373,62.719
137,1610,61.526,65.864,65.351,69.232,68.926,68.383,67.633,67.833,67.989,69.782,67.998,65.758,65.544,66.613,65.863,65.760,66.591,64.742,63.830,65.137,66.561,64.793,66.726,62.974,63.405,62.119,63.825,64.440,64.512,65.245,65.203,64.412,64.827,65.127,67.864,65.872,63.849
138,1617,94.521,103.147,102.065,106.687,106.286,105.096,103.727,104.550,104.515,110.921,104.606,101.433,101.178,103.083,101.723,101.408,103.516,100.578,100.020,100.577,102.620,100.563,102.681,96.484,97.309,94.747,97.627,99.007,100.276,100.569,100.578,98.572,99.652,100.342,105.882,101.703,98.449
139,1619,67.412,69.997,69.957,72.916,72.903,72.201,71.688,71.877,71.799,73.626,71.857,70.240,70.055,71.189,70.394,70.254,71.243,69.634,68.307,69.856,70.978,70.138,70.966,67.351,67.920,66.702,68.426,69.435,69.425,69.873,70.137,69.323,69.789,69.710,71.802,70.413,68.605
140,1622,78.128,81.537,81.519,85.868,85.341,84.195,83.354,84.080,84.015,87.093,83.538,82.153,81.946,83.118,82.358,82.069,83.425,81.405,80.370,81.564,82.996,81.791,82.908,79.091,79.557,77.868,79.778,80.996,81.318,81.656,81.721,80.646,81.254,81.517,84.003,82.283,80.181
141,1625,68.364,71.616,70.964,75.591,75.131,74.412,73.587,73.969,74.112,77.731,74.875,72.087,71.863,73.028,72.165,72.027,73.212,71.250,70.585,71.611,72.863,71.337,72.888,68.972,69.330,67.861,69.867,70.820,71.173,71.542,71.529,70.397,71.007,71.427,75.076,72.220,70.174
142,1626,74.823,79.279,79.066,89.143,88.956,87.560,87.187,87.801,87.532,88.602,86.133,83.362,83.223,84.681,84.011,83.652,83.343,80.536,78.947,81.895,85.213,82.099,85.532,77.820,78.837,76.934,78.056,79.279,80.606,81.756,81.985,80.178,80.886,82.891,85.177,83.591,80.321
143,1630,48.592,51.418,51.330,54.069,53.830,53.266,52.795,52.990,53.076,54.566,53.081,51.558,51.425,52.158,51.662,51.574,52.267,50.870,50.116,51.504,52.128,51.095,52.161,49.754,50.106,49.279,50.263,50.895,50.784,51.335,51.432,51.026,51.240,51.088,53.031,51.596,50.093
144,1633,106.337,109.191,108.792,121.522,120.846,118.927,118.611,119.069,119.000,123.389,117.220,114.563,114.335,116.374,115.253,114.716,115.408,112.250,111.417,112.431,116.724,113.683,116.661,106.715,107.548,104.932,107.284,109.340,111.800,112.281,112.394,108.930,110.573,114.155,117.346,114.953,110.969
145,1634,62.255,63.662,63.556,70.486,70.432,69.427,69.042,69.679,69.378,71.100,69.099,66.960,66.816,67.851,67.262,67.074,66.696,65.271,65.009,66.033,68.115,66.381,68.235,63.650,64.200,62.665,64.011,65.032,65.314,66.202,66.316,65.396,65.788,66.478,68.598,67.076,65.000
