"","pop2","pop3","pcseg1","pcseg4","pop2-opt","pcseg1-opt"
"1",6.054243816,5.37798808,3.988142776,0.850531887999999,0.596412464000001,1.357682896
"2",3.786147624,3.309113048,3.929826184,1.542615696,0.0933366719999991,0.0787094080000021
"3",2.83840468,2.636606176,3.382228448,1.15846592,0.972985016000002,0.302666375999998
"4",4.09015288,3.51711224,2.349558672,1.04853132,0.373032888000001,0.0259366160000021
"5",4.653984536,4.293039224,4.603203328,2.236691088,0.798026871999999,0.888070736000003
"6",6.317601512,4.91596988,5.228648568,0.978725463999998,1.716929504,1.506014064
"7",7.44833588,6.969841088,4.556066384,1.469851752,2.35489745599999,1.909602704
"8",6.698282752,6.403992744,4.449972696,1.235229768,1.306847296,1.992742968
"9",4.423814328,3.421913688,2.276271728,2.111836344,1.071915696,0.00170288800000019
"10",4.873531568,4.498812528,2.977656568,2.0614568,0.589889608,0.215287719999999
"11",6.537763592,5.583393192,3.358003088,2.000207224,2.052080456,0.994733447999999
"12",3.986657456,3.693421816,4.563957408,0.765973247999997,0.540380335999999,0.662423432000001
"13",5.053870336,4.684728568,4.514833064,3.023412792,0.283068519999997,0.204752407999998
"14",6.57666224,4.63813136,4.979512288,2.527654816,1.678942968,1.217192544
"15",4.742785752,3.566035752,1.45065137599999,3.102444368,1.05989087999999,0.823331704000006
"16",5.71823096,6.268924856,3.411478792,2.562478248,0.0291624799999997,0.921249855999999
"17",4.07234996,2.48489433600001,0.289277575999999,3.935842776,0.279599983999996,1.582836488
"18",1.23959368,0.403663952000001,0.436039744,2.097075192,1.680721168,1.228079312
"19",0.440190272000001,0.474566016000001,1.241991112,2.977652384,0.333247231999999,0.368476511999999
"20",10.076574056,9.37843599999999,5.23075312,1.9661662,0.710886704000004,0.311511352000008
"21",7.66628880799999,5.804011328,1.832018792,2.21967894400001,0.144465151999992,0.925919200000012
"22",6.21653280800001,5.13903565600001,2.089673696,1.58137208799999,1.261153832,1.103433768
"23",5.202565512,3.315472728,1.107789312,3.72924104,1.07534657600001,1.784735408
"24",1.144508096,0.681803720000001,4.549045632,2.256355888,1.787747888,1.152784048
"25",0.458541296,0.661005056000001,5.148102384,3.223156952,0.775855856,0.192409608000001
"26",0.455938847999998,2.919402736,6.93332732,4.276081472,2.082770096,2.893449384
"27",0.982578928,0.496025752,5.103111832,2.712286368,1.534682832,0.292386287999999
"28",0.740747912000001,0.954475000000002,6.085130104,3.951679216,0.636838272,1.809303856
"29",1.738544048,0.363024759999999,5.74956912,4.562723128,0.0394634879999977,1.652127712
"30",0.201953312,1.017515328,2.57675824,1.221556456,0.81213532,0.166205215999999
"31",0.434830568,0.791993544000001,2.340671856,2.378511952,0.774424928,1.00497588
"32",0.424441696000001,0.487716327999999,2.1446138,2.473128928,0.0785378640000004,0.691744903999999
"33",0.0655298079999993,0.774328696,2.913114184,1.56264032,0.491368960000001,0.161954272
"34",5.73191264,2.912821304,1.590907424,0.930969287999999,2.04641532,0.0990018079999994
"35",2.178684112,0.160196991999999,0.729061999999999,2.466610256,0.357878439999999,0.0660277040000002
"36",1.354929824,0.555840216,1.842993424,2.238444184,0.341410216,0.0142339679999996
"37",2.92645696,0.818645624000001,0.230400327999999,1.71636048,0.552551592,0.275922248
"38",1.728498264,0.681289087999999,0.729647759999999,3.538618,0.797395088,1.827876632
"39",1.705699648,0.482766655999999,2.370754816,2.643748264,0.44741604,0.651683104000001
"40",0.976152304000001,0.202229456,0.555133120000001,2.858751472,1.12871768,0.415680399999999
"41",4.071462952,3.088737584,4.115599968,2.710340808,1.771551624,1.1002874
"42",1.603597496,1.53954464,3.1020176,3.795109752,0.649268936000002,0.132812712000002
"43",1.42364784,1.158658384,2.208854936,3.049922616,0.688008592,0.480879672000001
"44",2.223653744,0.823168528000002,0.0166606880000006,1.547176256,0.334468960000001,0.433286671999999
"45",3.213466808,1.572133816,1.142637848,0.680448104,1.764505768,0.370610352
"46",5.328432784,3.811586344,3.065725584,2.0363528,1.6128274,0.300197816000002
"47",1.922389008,2.434569184,0.878857567999999,4.575216552,2.653948856,1.360582408
"48",0.95455868,1.73820096,0.0236270480000008,5.320763512,1.936576952,0.939291264000001
"49",1.891887648,2.612016808,1.105885592,4.7444468,2.66696528,1.20419704
"50",0.674130264,1.562380912,0.970838624,3.165564192,0.809482664000001,0.381957359999999
"51",0.296356904,1.265308544,1.905176032,2.13911184,0.309712232,0.647540944
"52",0.0278068639999997,0.188418072,0.0652201920000007,2.751503,0.689322368,0.359807263999999
"53",1.91782008,0.833080423999997,0.696125552,3.664895304,0.560622528,0.210614192
"54",0.0876296959999985,0.876313696000002,1.07315416,1.433463504,0.219183024000001,0.983968016000001
"55",0.117189656,0.0228069840000032,0.0124055600000023,2.15103624,0.511966792,0.626315512
"56",0.160795304,0.0759981760000003,0.15499628,2.515286912,0.919961184000001,1.361080304
"57",0.159067312,1.0370044,0.937023536,3.760821872,1.237305032,2.669730904
"58",0.309168312,0.143565592,1.119161424,5.863696088,1.33398472,1.770639512
"59",3.63292536,4.417186872,2.682939792,1.890222416,0.754504903999999,2.04917676
"60",4.161590496,2.43368636,0.122335975999998,0.978758935999999,3.605804672,2.928783264
"61",5.12814052,4.080148936,3.357835728,1.257526304,2.552411544,0.669327032
"62",5.616961424,4.408726824,2.897993208,1.960735368,1.957329592,1.110400128
"63",1.137930848,0.958219680000001,2.789903752,2.572695576,1.587773608,0.247173984000001
"64",2.656429968,1.587313368,0.626277856000001,2.448849176,0.578517496000001,0.359388864
"65",1.658433,0.821172759999998,1.166202136,2.433636152,2.479860984,2.438167424
"66",1.859838208,0.933103128,2.148249696,2.497337552,0.0883995519999983,0.481063768
