"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"tetrahydrothiophene",13,"8 H + 1 S + 4 C ","-1231.62"," 15.88"," 10.87"," 41.25"," 27.01","  6.62","  3.28","-17.49"," -3.95"," 10.41"
"t-butyl-chloride",14,"9 H + 4 C + 1 Cl ","-1286.96"," 14.73"," 14.23"," 38.34"," 27.23","  4.93","  6.62","-12.28"," -0.14"," 13.50"
"n-butyl-chloride",14,"9 H + 4 C + 1 Cl ","-1281.28"," 12.52"," 12.41"," 36.29"," 24.78","  3.42","  5.04","-13.84"," -1.78"," 11.71"
"tetrahydropyrrole",14,"1 N + 9 H + 4 C ","-1330.89","  8.76","  8.62"," 39.59"," 18.37"," -2.03"," -2.79","-24.08"," -6.47","  2.83"
"nitro-s-butane",16,"1 N + 2 O + 9 H + 4 C ","-1490.96"," 10.86","  7.11"," 72.41","  5.41","  0.02"," -1.20","-47.97"," -4.45","-14.99"
"diethyl-ether",15,"1 O + 10 H + 4 C ","-1393.02","  8.39"," 12.44"," 39.86"," 18.13"," -2.48","  3.07","-18.13"," -0.20","  8.85"
"acetaldehyde-dimethyl-acetal",16,"2 O + 10 H + 4 C ","-1487.65"," 12.15"," 13.42"," 53.35"," 18.71"," -1.69","  3.80","-23.71","  2.32","  7.98"
"t-butanethiol",15,"10 H + 1 S + 4 C ","-1362.62"," 15.98"," 16.56"," 41.07"," 29.50","  6.00","  9.23","-10.69","  1.99"," 16.68"
"diethyl-disulfide",16,"10 H + 2 S + 4 C ","-1423.08"," 18.37"," 14.18"," 49.36"," 29.94"," 10.55"," 13.68","-16.43","  0.97"," 14.79"
"t-butylamine",16,"1 N + 11 H + 4 C ","-1472.90"," 10.01"," 15.10"," 40.74"," 21.94"," -1.12","  4.54","-16.43","  0.41","  9.84"
"tetramethylsilane",17,"12 H + 1 Si + 4 C ","-1546.05"," 18.76"," 22.45"," 40.44"," 36.99","  7.80"," 12.26","  2.30"," 10.66"," 29.78"
"2-methyl-thiophene",12,"6 H + 1 S + 5 C ","-1260.64"," 15.52","  5.87"," 51.76"," 20.04","  8.58","  3.21","-33.81","-10.62"," -4.65"
"n-methyl-pyrrole",13,"1 N + 7 H + 5 C ","-1362.46","  6.84","  2.04"," 48.35"," 10.18"," -2.28"," -4.83","-41.13","-14.21","-13.00"
"tetrahydropyran",16,"1 O + 10 H + 5 C ","-1561.19"," 15.49"," 13.41"," 51.08"," 27.12","  0.90"," -1.05","-24.78"," -4.22","  8.92"
"diethyl-ketone",16,"1 O + 10 H + 5 C ","-1567.64"," 11.05"," 10.88"," 49.48"," 19.63"," -0.70","  0.38","-27.20"," -3.91","  3.05"
"isopropyl-acetate",17,"2 O + 10 H + 5 C ","-1682.95"," 14.54"," 12.07"," 63.00"," 19.67"," -0.06","  1.07","-33.27"," -1.62","  1.96"
"tetrahydrothiopyran",16,"10 H + 1 S + 5 C ","-1528.15"," 19.64"," 14.56"," 49.55"," 34.30","  7.27","  3.72","-20.16"," -4.37"," 13.43"
