"","G4MP2","B3LYP","M06-2X","wB97X-D"
"127",1.09,3.01,-0.95,-0.71
"128",0.600000000000001,-5.42,-4.28,-2.65
"129",-0.00999999999999979,-2.93,-4.26,-3.15
"130",1.06,-1.2,-2.52,-1.16
"131",0.220000000000001,-0.35,-4.27,-1.27
"132",-0.48,0.51,-4.23,-1.74
"133",-0.42,0.66,-4.14,-1.66
"134",0.520000000000001,-0.709999999999999,-3.85,-1.39
"135",-0.31,-1.16,-3.62,-1.06
"136",-0.279999999999999,-1.84,-3.64,0.66
"137",-1.42,-2.05,-1.29,-0.35
"138",1.04,-1.37,-3.4,0.93
"139",-1.3,-3,2.88,7.21
"140",-0.609999999999999,-3.87,-5.14,-1.57
"141",1.05,0.0600000000000005,0.4,1.16
"142",1.26,5.42,-3.38,-0.449999999999999
"143",1.96,2.42,-3.51,-1.18
"144",1.46,2.98,-3.7,-1.81
"145",2.19,3.34,-2.78,-0.27
"146",1.45,0.760000000000002,-3.79,-1.9
"147",1.59,2.16,-3.87,-1.86
"148",0.520000000000003,2.78,-3.87,0.470000000000006
"149",0.350000000000001,1.51,-3.87,-0.0300000000000011
"150",0.939999999999998,-0.68,-3.91,-0.609999999999999
"151",0.779999999999994,0.140000000000001,-3.73,-0.0300000000000011
"152",0.630000000000003,0.460000000000001,-3.93,-0.390000000000001
"153",0.460000000000001,0.730000000000004,-4.12,-0.519999999999996
"154",0.560000000000002,0.32,-4.04,-0.270000000000003
"155",0.549999999999997,0.380000000000003,-2.21,1.38
"156",0.439999999999998,0.789999999999999,-4.1,-0.509999999999998
"157",-0.199999999999999,1.16,-3.43,0.870000000000001
"158",0.380000000000003,7.46,-4.12,0.109999999999999
"159",-0.539999999999999,4.69,-5.31,-1.16
"160",0.359999999999999,5.37,-4.53,-0.449999999999996
"161",0.439999999999998,5.39,-4.51000000000001,-0.390000000000001
"162",0.850000000000001,3.34,-4.6,-1.1
"163",-0.759999999999998,2.79,-5.88,-1.9
"164",2.73999999999999,0.00999999999999801,0.409999999999997,0.0899999999999963
"165",1.73,0.58,-0.57,0.539999999999999
"166",0.259999999999998,-0.840000000000003,1.94,-0.68
"167",1.64,2.89,-0.94,-0.11
"168",1.87,1.63,-1.17,-0.54
"169",2.13,2.71,-0.57,0.1
"170",1.76,3.36,-1,-0.21
"171",1.28,2.99,-1.47,-0.7
"172",1.59,2.46,-0.34,-0.0600000000000001
"173",1.58,3.3,-0.94,-0.42
"174",0.92,3.23,-1.21,-0.47
"175",1.66,-5.62,-4.58,-3.24
"176",0.859999999999999,1.73,0.140000000000001,0.349999999999998
"177",-0.339999999999996,0.57,0.0200000000000031,-0.489999999999995
"178",0.34,4.53,3.14,2.89
"179",-0.0900000000000034,3.2,-0.120000000000005,0.75
"180",0.0299999999999994,2.55,3.62,1.38
"181",-0.710000000000001,1.47,-0.439999999999998,-0.579999999999998
"182",-0.289999999999999,5.67,1.81,0.32
"183",0.549999999999997,0.389999999999997,0.359999999999999,-0.560000000000002
"184",0.390000000000001,4.66,0.399999999999999,1.43
"185",-0.549999999999997,3.82,-0.219999999999999,1.02
"186",-0.300000000000001,3.18,2.92,1.2
"187",-0.479999999999997,3.3,1.26,1.62
"188",-0.640000000000001,2.02,-0.609999999999999,-0.369999999999997
"189",-0.719999999999999,1.45999999999999,-0.799999999999997,-0.799999999999997
"190",0.0700000000000003,6.62,1.69,0.630000000000003
"191",0.15,1.54,3.28,0.99
"192",0.82,4.74,0.490000000000002,1.29
"193",-0.21,4.18,1.98,-0.28
"194",0.629999999999995,5.27999999999999,0.25,1.75
"195",-0.619999999999997,3.07,-1.16,0
"196",-0.439999999999998,4.6,-0.269999999999996,1.13
"197",-2.04,3.5,-0.479999999999997,-1.78
"198",-1.06,2.66,0.669999999999995,0.399999999999999
"199",-0.460000000000008,2.42999999999999,-0.88000000000001,-0.150000000000006
"200",-0.22999999999999,1.29000000000001,-0.859999999999999,-0.72999999999999
"201",-0.140000000000001,2.01000000000001,-0.769999999999996,-0.560000000000002
"202",-0.259999999999991,0.200000000000003,-1.23999999999999,-1.39
"203",-0.43,6.69,0.659999999999997,0.100000000000001
"204",-0.409999999999997,6.58,0.93,0.289999999999999
"205",-0.489999999999995,5.45000000000001,0.57,-0.189999999999998
"206",-0.0399999999999991,2.37,0.32,2.85
"207",-2.02,0.580000000000002,0.150000000000002,-1.15
"208",0.149999999999999,5.72,0.119999999999997,1.72
"209",-0.420000000000002,4.96,-0.68,1.22
"210",-0.330000000000005,3.62,-0.940000000000005,0.68
"211",-0.740000000000002,2.68,0.909999999999997,0.479999999999997
"212",0.100000000000001,4.93,-0.759999999999998,1.24
"213",-2.23999999999999,3.73,-0.969999999999999,-1.84999999999999
"214",-0.340000000000003,2.12,-0.230000000000004,0.799999999999997
"215",-0.740000000000002,4.23,0.189999999999998,-0.829999999999998
"216",-0.0300000000000011,3.05,-0.920000000000002,0.319999999999993
"217",-0.22999999999999,2.68000000000001,-1.14999999999999,-0.299999999999997
"218",-1.38,1.75,-2.15000000000001,-1.5
"219",-0.650000000000006,1.33999999999999,-1.65000000000001,-0.810000000000002
"220",-1.35000000000001,0.11999999999999,-2.40000000000001,-1.30000000000001
"221",-0.180000000000007,0.209999999999994,-1.58,-1.44
"222",0.519999999999996,1.52,-0.780000000000001,-0.5
"223",0,3.95999999999999,0.309999999999988,-0.579999999999998
"224",-0.199999999999996,7,0.670000000000002,0.520000000000003
"225",-0.480000000000004,7.06,0.310000000000002,0.159999999999997
"226",-0.309999999999999,-0.0899999999999999,1.99,0.0700000000000003
"227",3.06,4.97,5.24,2.52
"228",0.350000000000001,1.78,0.170000000000002,2.57
"229",-0.240000000000009,5.28,-1.01000000000001,1.39999999999999
"230",0.259999999999991,1.70999999999999,-1.16000000000001,0.170000000000002
"231",0.170000000000002,6.03,-0.319999999999993,1.78
"232",-0.560000000000002,3.84,-1.52,0.38000000000001
"233",0.939999999999998,-0.640000000000001,0.209999999999994,1.28
"234",0.039999999999992,3.27,-1.34,0.399999999999991
"235",-0.659999999999997,7.3,-0.189999999999998,0.0999999999999943
"236",-0.180000000000007,5.33999999999999,-0.580000000000013,-0.38000000000001
"237",1.35,2.68,1.98,1.28
"238",-0.129999999999999,-1.53,0.809999999999999,-1.07
"239",0.560000000000002,0.830000000000002,2.19,0.360000000000003
"240",-0.949999999999999,-0.290000000000003,0.739999999999998,-0.73
"241",0.150000000000002,0.870000000000001,1.72,0.240000000000002
"242",1.32,4.81,4.76,1.9
"243",-0.230000000000004,-4.04000000000001,-2.05,0.789999999999999
"244",-1.57,-3.63,0.12,0.34
"245",1.89,7.06,0.0500000000000043,3.08
"246",-0.0700000000000074,1.73999999999999,-1.87,-0.25
"247",-0.330000000000013,2.63,-2.25,-0.0500000000000114
